@relation AT2018_2019_2020_NBD_caso2_predicted

@attribute 'prediction margin' numeric
@attribute 'predicted dia' {lunes_martes_miercoles,jueves_viernes,sabado_domingo}
@attribute dia {lunes_martes_miercoles,jueves_viernes,sabado_domingo}
@attribute hora {h12_h15,h20_h23,h16_h19,h00_h03,h08_h11,h04_h07}
@attribute tipologia {atropello,choque,estrellamiento,roce,colision,'perdida de carril_pista','caida de pasajero',atipico,encunetamiento,arrollamiento,volcamiento}
@attribute parroquia_urbana {punzara,sucre,'san sebastian',carigan,'el sagrario','el valle'}
@attribute causas {'imprudencia del peaton','negligencia del conductor','condiciones climaticas desfavorables','fallas mecanicas no previsibles','imprudencia del conductor','conducir en estado de embriaguez','no ceder el derecho de via','cambio brusco e indebido de carril','no mantener la distancia reglamentaria','inobservancia de leyes de transito','no respetar las senales de transito','conducir en exceso de velocidad','invadir carril de circulacion','razones desconocidas','no respetar las ordenes del agente de transito','impericia del conductor'}
@attribute nro_heridos {1h,0h,3h,2h,4h,5h,6h}
@attribute nro_fallecidos {0fa,1fa}

@data
-0.75,sabado_domingo,jueves_viernes,h08_h11,estrellamiento,'san sebastian','imprudencia del conductor',1h,0fa
-0.363636,lunes_martes_miercoles,jueves_viernes,h16_h19,atropello,'el sagrario','imprudencia del peaton',1h,0fa
0.1875,sabado_domingo,sabado_domingo,h04_h07,estrellamiento,punzara,'conducir en exceso de velocidad',0h,0fa
0.26383,sabado_domingo,sabado_domingo,h00_h03,estrellamiento,punzara,'conducir en estado de embriaguez',1h,0fa
0.26383,sabado_domingo,sabado_domingo,h12_h15,choque,punzara,'conducir en estado de embriaguez',0h,0fa
-0.089552,sabado_domingo,lunes_martes_miercoles,h08_h11,choque,'san sebastian','imprudencia del conductor',0h,0fa
-0.280851,sabado_domingo,lunes_martes_miercoles,h16_h19,choque,'el sagrario','conducir en estado de embriaguez',0h,0fa
-0.089552,sabado_domingo,lunes_martes_miercoles,h16_h19,choque,punzara,'imprudencia del conductor',0h,0fa
-0.277778,lunes_martes_miercoles,jueves_viernes,h12_h15,roce,sucre,'imprudencia del conductor',0h,0fa
-0.26383,sabado_domingo,jueves_viernes,h08_h11,choque,sucre,'conducir en estado de embriaguez',0h,0fa
0,lunes_martes_miercoles,jueves_viernes,h16_h19,choque,'el sagrario','imprudencia del conductor',2h,0fa
0.2,sabado_domingo,sabado_domingo,h16_h19,atropello,'san sebastian','imprudencia del peaton',1h,0fa
0.1,jueves_viernes,jueves_viernes,h20_h23,estrellamiento,punzara,'conducir en exceso de velocidad',0h,0fa
0.5,sabado_domingo,sabado_domingo,h08_h11,estrellamiento,carigan,'imprudencia del conductor',1h,0fa
0.26383,sabado_domingo,sabado_domingo,h16_h19,choque,punzara,'conducir en estado de embriaguez',1h,0fa
0.089552,sabado_domingo,sabado_domingo,h20_h23,choque,'san sebastian','imprudencia del conductor',0h,0fa
0.26383,sabado_domingo,sabado_domingo,h20_h23,colision,'el valle','conducir en estado de embriaguez',2h,0fa
-0.4,sabado_domingo,lunes_martes_miercoles,h16_h19,atropello,sucre,'imprudencia del peaton',1h,0fa
-0.298507,sabado_domingo,jueves_viernes,h16_h19,choque,sucre,'imprudencia del conductor',0h,0fa
-0.21307,sabado_domingo,jueves_viernes,h20_h23,atropello,sucre,?,1h,0fa
-0.288889,sabado_domingo,jueves_viernes,h12_h15,choque,punzara,'imprudencia del conductor',1h,0fa
-0.277778,lunes_martes_miercoles,jueves_viernes,h08_h11,roce,sucre,'imprudencia del conductor',0h,0fa
-0.75,sabado_domingo,jueves_viernes,h20_h23,estrellamiento,punzara,'imprudencia del conductor',1h,0fa
-0.28,jueves_viernes,sabado_domingo,h00_h03,estrellamiento,sucre,'imprudencia del conductor',0h,0fa
-0.25,lunes_martes_miercoles,sabado_domingo,h12_h15,choque,'san sebastian','imprudencia del conductor',2h,0fa
-0.089552,sabado_domingo,lunes_martes_miercoles,h16_h19,choque,sucre,'imprudencia del conductor',0h,0fa
0.277778,lunes_martes_miercoles,lunes_martes_miercoles,h16_h19,roce,'san sebastian','imprudencia del conductor',1h,0fa
-0.280851,sabado_domingo,lunes_martes_miercoles,h12_h15,choque,'el sagrario','conducir en estado de embriaguez',0h,0fa
-0.1,jueves_viernes,lunes_martes_miercoles,h20_h23,estrellamiento,carigan,'conducir en exceso de velocidad',0h,0fa
0.26383,sabado_domingo,sabado_domingo,h08_h11,estrellamiento,carigan,'conducir en estado de embriaguez',0h,0fa
0.1,jueves_viernes,jueves_viernes,h20_h23,'perdida de carril_pista','san sebastian','conducir en exceso de velocidad',0h,0fa
0.26383,sabado_domingo,sabado_domingo,h20_h23,estrellamiento,'el sagrario','conducir en estado de embriaguez',0h,0fa
0.26383,sabado_domingo,sabado_domingo,h00_h03,estrellamiento,punzara,'conducir en estado de embriaguez',0h,0fa
0.26383,sabado_domingo,sabado_domingo,h12_h15,colision,carigan,'conducir en estado de embriaguez',0h,0fa
-0.288889,sabado_domingo,jueves_viernes,h20_h23,choque,sucre,'imprudencia del conductor',1h,0fa
-0.205128,sabado_domingo,jueves_viernes,h00_h03,'perdida de carril_pista',punzara,'conducir en exceso de velocidad',0h,0fa
-0.04,jueves_viernes,lunes_martes_miercoles,h16_h19,estrellamiento,'el sagrario','imprudencia del conductor',0h,0fa
