@relation AT2018_2019_2020_NBD_caso1_predicted

@attribute dia {miercoles,jueves,viernes,sabado,domingo,lunes,martes}
@attribute hora {h13,h20,h18,h21,h19,h02,h17,h12,h03,h16,h01,h08,h05,h14,h23,h07,h10,h15,h00,h11,h09,h22,h06,h04}
@attribute tipologia {atropello,'choque lateral perpendicular',estrellamiento,'choque frontal longitudinal','choque lateral angular','roce negativo',colision,'choque por alcance','roce positivo','perdida de carril','choque frontal excentrico','caida de pasajero','perdida de pista',atipico,encunetamiento,arrollamiento,rozamiento,'volcamiento lateral','volcamiento longitudinal',volcamiento}
@attribute parroquia_urbana {punzara,sucre,'san sebastian',carigan,'el sagrario','el valle'}
@attribute causas {'imprudencia del peaton','negligencia del conductor','condiciones climaticas desfavorables','fallas mecanicas no previsibles','imprudencia del conductor','conducir en estado de embriaguez','no ceder el derecho de via','cambio brusco e indebido de carril','no mantener la distancia reglamentaria','inobservancia de leyes de transito','no respetar las senales de transito','conducir en exceso de velocidad','invadir carril de circulacion','razones desconocidas','no respetar las ordenes del agente de transito','impericia del conductor'}
@attribute 'prediction margin' numeric
@attribute 'predicted nro_heridos' {1h,0h,3h,2h,4h,5h,6h}
@attribute nro_heridos {1h,0h,3h,2h,4h,5h,6h}
@attribute nro_fallecidos {0fa,1fa}

@data
viernes,h20,'choque lateral angular',sucre,'imprudencia del conductor',0.213198,0h,0h,0fa
sabado,h13,estrellamiento,'el sagrario','imprudencia del conductor',-0.661017,0h,1h,0fa
domingo,h03,'perdida de carril',punzara,'conducir en estado de embriaguez',0.426966,0h,0h,0fa
sabado,h01,'choque lateral perpendicular','san sebastian','imprudencia del conductor',-0.490991,0h,5h,0fa
lunes,h21,'perdida de carril','el valle','conducir en exceso de velocidad',-0.426966,0h,1h,0fa
martes,h14,'choque por alcance',punzara,'imprudencia del conductor',0.641791,0h,0h,0fa
domingo,h20,'choque lateral angular','el sagrario','conducir en estado de embriaguez',-0.451777,0h,2h,0fa
sabado,h02,atipico,sucre,'imprudencia del conductor',0.533333,0h,0h,0fa
viernes,h22,'perdida de carril',punzara,'conducir en exceso de velocidad',0.426966,0h,0h,0fa
jueves,h12,atropello,sucre,'imprudencia del conductor',-0.84,1h,2h,0fa
jueves,h10,'choque lateral angular',sucre,'imprudencia del conductor',0.213198,0h,0h,0fa
martes,h21,'choque por alcance','el sagrario','imprudencia del conductor',0.641791,0h,0h,0fa
lunes,h10,'roce negativo',sucre,'conducir en exceso de velocidad',0.896552,0h,0h,0fa
lunes,h19,'perdida de carril',sucre,'conducir en exceso de velocidad',0.426966,0h,0h,0fa
lunes,h17,atropello,'el sagrario','imprudencia del peaton',0.84,1h,1h,0fa
martes,h14,estrellamiento,'el valle','imprudencia del conductor',0.661017,0h,0h,0fa
domingo,h11,'choque lateral perpendicular','san sebastian','no respetar las senales de transito',0.144144,0h,0h,0fa
jueves,h15,'choque lateral angular','el sagrario','imprudencia del conductor',-0.213198,0h,1h,0fa
viernes,h16,colision,'el sagrario','conducir en estado de embriaguez',0.666667,0h,0h,0fa
viernes,h13,'choque frontal excentrico',sucre,'imprudencia del conductor',0.15625,0h,0h,0fa
viernes,h10,atipico,carigan,'imprudencia del conductor',0.533333,0h,0h,0fa
sabado,h04,estrellamiento,'el sagrario','conducir en exceso de velocidad',0.661017,0h,0h,0fa
viernes,h16,'perdida de carril',sucre,'conducir en exceso de velocidad',-0.539326,0h,2h,0fa
miercoles,h22,'choque lateral angular','san sebastian','imprudencia del conductor',-0.451777,0h,2h,0fa
sabado,h23,estrellamiento,'el valle','conducir en exceso de velocidad',0.661017,0h,0h,0fa
lunes,h16,'choque lateral perpendicular','el valle','conducir en exceso de velocidad',-0.144144,0h,1h,0fa
miercoles,h08,'choque lateral angular','el sagrario','imprudencia del conductor',-0.213198,0h,1h,0fa
jueves,h01,estrellamiento,sucre,'conducir en estado de embriaguez',0.661017,0h,0h,0fa
martes,h17,'choque lateral perpendicular',sucre,'imprudencia del conductor',0.144144,0h,0h,0fa
domingo,h07,'choque lateral perpendicular',punzara,'imprudencia del conductor',-0.144144,0h,1h,0fa
miercoles,h04,atipico,punzara,'fallas mecanicas no previsibles',0.533333,0h,0h,0fa
domingo,h20,'choque lateral perpendicular','el sagrario','imprudencia del conductor',-0.144144,0h,1h,0fa
domingo,h04,estrellamiento,sucre,'conducir en exceso de velocidad',0.661017,0h,0h,0fa
domingo,h01,estrellamiento,punzara,'conducir en estado de embriaguez',-0.661017,0h,1h,0fa
viernes,h20,'choque lateral angular',sucre,'conducir en estado de embriaguez',-0.213198,0h,1h,0fa
sabado,h02,estrellamiento,'el sagrario','conducir en exceso de velocidad',0.661017,0h,0h,0fa
viernes,h10,'choque lateral angular',sucre,'imprudencia del conductor',0.213198,0h,0h,0fa
viernes,h05,'choque lateral angular',carigan,'conducir en estado de embriaguez',0.213198,0h,0h,0fa
viernes,h00,estrellamiento,sucre,'conducir en estado de embriaguez',0.661017,0h,0h,0fa
jueves,h20,estrellamiento,carigan,'conducir en estado de embriaguez',0.661017,0h,0h,0fa
sabado,h06,estrellamiento,punzara,'imprudencia del conductor',-0.661017,0h,1h,0fa
sabado,h23,'choque lateral perpendicular',punzara,'conducir en estado de embriaguez',0.144144,0h,0h,0fa
jueves,h13,atropello,'san sebastian','imprudencia del conductor',0.84,1h,1h,0fa
miercoles,h18,'choque lateral perpendicular',punzara,'imprudencia del conductor',-0.144144,0h,1h,0fa
jueves,h01,estrellamiento,carigan,'conducir en estado de embriaguez',0.661017,0h,0h,0fa
martes,h13,estrellamiento,sucre,'conducir en exceso de velocidad',-0.800847,0h,6h,0fa
miercoles,h04,estrellamiento,punzara,'conducir en exceso de velocidad',0.661017,0h,0h,0fa
sabado,h15,estrellamiento,carigan,'conducir en estado de embriaguez',0.661017,0h,0h,0fa
sabado,h05,estrellamiento,punzara,'conducir en estado de embriaguez',0.661017,0h,0h,0fa
martes,h20,colision,carigan,'imprudencia del conductor',-0.666667,0h,2h,0fa
miercoles,h00,estrellamiento,'el sagrario','conducir en estado de embriaguez',0.661017,0h,0h,0fa
jueves,h20,'perdida de carril',punzara,'conducir en estado de embriaguez',-0.426966,0h,1h,0fa
martes,h16,estrellamiento,sucre,'imprudencia del conductor',0.661017,0h,0h,0fa
miercoles,h18,estrellamiento,punzara,'conducir en estado de embriaguez',0.661017,0h,0h,0fa
sabado,h03,estrellamiento,punzara,'conducir en exceso de velocidad',0.661017,0h,0h,0fa
martes,h03,estrellamiento,'san sebastian','conducir en estado de embriaguez',-0.661017,0h,1h,0fa
viernes,h14,'choque lateral perpendicular','el valle','imprudencia del conductor',-0.144144,0h,1h,0fa
jueves,h05,estrellamiento,sucre,'imprudencia del conductor',0.661017,0h,0h,0fa
jueves,h07,'choque lateral perpendicular',punzara,'imprudencia del conductor',-0.477477,0h,3h,0fa
viernes,h00,'choque por alcance','san sebastian','conducir en estado de embriaguez',0.641791,0h,0h,0fa
domingo,h06,'choque frontal excentrico',sucre,'imprudencia del conductor',0.15625,0h,0h,1fa
domingo,h11,'choque por alcance','el sagrario','conducir en estado de embriaguez',-0.641791,0h,1h,0fa
miercoles,h15,atropello,'san sebastian','imprudencia del peaton',0.84,1h,1h,0fa
sabado,h10,'choque lateral perpendicular','el sagrario','imprudencia del conductor',0.144144,0h,0h,1fa
martes,h14,'choque lateral perpendicular','san sebastian','conducir en estado de embriaguez',-0.144144,0h,1h,0fa
domingo,h20,estrellamiento,'san sebastian','conducir en estado de embriaguez',0.661017,0h,0h,0fa
martes,h14,'choque lateral perpendicular','el sagrario','imprudencia del conductor',-0.144144,0h,1h,0fa
lunes,h23,estrellamiento,carigan,'imprudencia del conductor',-0.783898,0h,3h,0fa
lunes,h08,'choque lateral perpendicular','san sebastian','no respetar las senales de transito',-0.144144,0h,1h,0fa
jueves,h11,estrellamiento,carigan,'imprudencia del conductor',-0.661017,0h,1h,0fa
domingo,h00,estrellamiento,'san sebastian','conducir en estado de embriaguez',0.661017,0h,0h,0fa
sabado,h03,estrellamiento,carigan,'imprudencia del conductor',0.661017,0h,0h,0fa
jueves,h22,estrellamiento,'el sagrario','imprudencia del conductor',0.661017,0h,0h,0fa
sabado,h04,estrellamiento,punzara,'imprudencia del conductor',0.661017,0h,0h,0fa
sabado,h04,estrellamiento,'san sebastian','imprudencia del conductor',0.661017,0h,0h,0fa
sabado,h13,estrellamiento,punzara,'imprudencia del conductor',0.661017,0h,0h,0fa
domingo,h04,estrellamiento,'el sagrario','imprudencia del conductor',0.661017,0h,0h,0fa
sabado,h20,estrellamiento,sucre,'imprudencia del conductor',0.661017,0h,0h,1fa
sabado,h06,'choque lateral angular',punzara,'imprudencia del conductor',0.213198,0h,0h,0fa
lunes,h10,'choque lateral perpendicular','el valle','imprudencia del conductor',0.144144,0h,0h,0fa
martes,h19,estrellamiento,carigan,'conducir en estado de embriaguez',0.661017,0h,0h,0fa
miercoles,h08,'choque lateral perpendicular',punzara,'no respetar las senales de transito',-0.144144,0h,1h,0fa
viernes,h16,'choque por alcance','san sebastian','imprudencia del conductor',0.641791,0h,0h,0fa
sabado,h18,estrellamiento,punzara,'conducir en estado de embriaguez',0.661017,0h,0h,0fa
domingo,h18,estrellamiento,punzara,'conducir en estado de embriaguez',0.661017,0h,0h,0fa
sabado,h12,'choque lateral perpendicular',sucre,'imprudencia del conductor',0.144144,0h,0h,0fa
viernes,h00,estrellamiento,'el valle','imprudencia del conductor',0.661017,0h,0h,0fa
viernes,h05,'choque lateral angular','el sagrario','imprudencia del conductor',-0.213198,0h,1h,0fa
lunes,h15,estrellamiento,sucre,'imprudencia del conductor',0.661017,0h,0h,0fa
domingo,h14,'choque lateral angular',sucre,'imprudencia del conductor',-0.213198,0h,1h,0fa
domingo,h20,'choque lateral angular',sucre,'imprudencia del conductor',-0.213198,0h,1h,0fa
martes,h00,'choque lateral angular','san sebastian','imprudencia del conductor',0.213198,0h,0h,0fa
miercoles,h10,'choque lateral perpendicular','el sagrario','imprudencia del conductor',-0.144144,0h,1h,0fa
miercoles,h20,'choque lateral angular','san sebastian','imprudencia del conductor',0.213198,0h,0h,0fa
martes,h13,atropello,sucre,'imprudencia del conductor',0.84,1h,1h,0fa
domingo,h10,'perdida de pista','el valle','conducir en exceso de velocidad',1,0h,0h,0fa
martes,h07,'choque lateral perpendicular','el sagrario','imprudencia del conductor',-0.391892,0h,2h,0fa
lunes,h21,estrellamiento,punzara,'conducir en exceso de velocidad',0.661017,0h,0h,0fa
viernes,h08,'choque lateral angular',sucre,'imprudencia del conductor',0.213198,0h,0h,0fa
jueves,h15,atropello,'el sagrario','imprudencia del peaton',0.84,1h,1h,0fa
miercoles,h13,'choque lateral perpendicular',sucre,'imprudencia del conductor',0.144144,0h,0h,0fa
sabado,h19,colision,'el valle','imprudencia del conductor',0.666667,0h,0h,0fa
jueves,h08,'choque por alcance',sucre,'imprudencia del conductor',0.641791,0h,0h,0fa
martes,h19,'choque lateral perpendicular',sucre,'imprudencia del conductor',-0.477477,0h,3h,0fa
martes,h21,'choque por alcance','el valle','conducir en estado de embriaguez',-0.641791,0h,1h,0fa
lunes,h14,colision,'el valle','imprudencia del conductor',0.666667,0h,0h,0fa
martes,h15,atipico,'san sebastian','imprudencia del conductor',0.533333,0h,0h,0fa
martes,h18,'roce negativo','el sagrario','imprudencia del conductor',0.896552,0h,0h,0fa
sabado,h21,'choque por alcance','el sagrario','conducir en estado de embriaguez',0.641791,0h,0h,0fa
domingo,h13,'choque lateral angular',sucre,'conducir en estado de embriaguez',0.213198,0h,0h,0fa
jueves,h12,'choque lateral perpendicular',sucre,'imprudencia del conductor',0.144144,0h,0h,0fa
martes,h10,'choque lateral perpendicular','san sebastian','imprudencia del conductor',-0.144144,0h,1h,0fa
martes,h10,'choque lateral angular','san sebastian','imprudencia del conductor',0.213198,0h,0h,0fa
lunes,h13,'choque por alcance',carigan,'imprudencia del conductor',0.641791,0h,0h,0fa
miercoles,h08,'choque lateral angular','san sebastian','imprudencia del conductor',0.213198,0h,0h,0fa
viernes,h20,'choque lateral perpendicular','san sebastian','conducir en estado de embriaguez',-0.144144,0h,1h,0fa
jueves,h20,'choque por alcance',sucre,'conducir en estado de embriaguez',0.641791,0h,0h,0fa
