@relation AT2018_2019_2020_NBD_caso1_predicted

@attribute dia {miercoles,jueves,viernes,sabado,domingo,lunes,martes}
@attribute hora {h13,h20,h18,h21,h19,h02,h17,h12,h03,h16,h01,h08,h05,h14,h23,h07,h10,h15,h00,h11,h09,h22,h06,h04}
@attribute tipologia {atropello,'choque lateral perpendicular',estrellamiento,'choque frontal longitudinal','choque lateral angular','roce negativo',colision,'choque por alcance','roce positivo','perdida de carril','choque frontal excentrico','caida de pasajero','perdida de pista',atipico,encunetamiento,arrollamiento,rozamiento,'volcamiento lateral','volcamiento longitudinal',volcamiento,'choque frontal'}
@attribute parroquia_urbana {punzara,sucre,'san sebastian',carigan,'el sagrario','el valle'}
@attribute 'prediction margin' numeric
@attribute 'predicted causas' {'imprudencia del peaton','negligencia del conductor','condiciones climaticas desfavorables','fallas mecanicas no previsibles','imprudencia del conductor','conducir en estado de embriaguez','no ceder el derecho de via','cambio brusco e indebido de carril','no mantener la distancia reglamentaria','inobservancia de leyes de transito','no respetar las senales de transito','conducir en exceso de velocidad','invadir carril de circulacion','razones desconocidas','no respetar las ordenes del agente de transito','impericia del conductor'}
@attribute causas {'imprudencia del peaton','negligencia del conductor','condiciones climaticas desfavorables','fallas mecanicas no previsibles','imprudencia del conductor','conducir en estado de embriaguez','no ceder el derecho de via','cambio brusco e indebido de carril','no mantener la distancia reglamentaria','inobservancia de leyes de transito','no respetar las senales de transito','conducir en exceso de velocidad','invadir carril de circulacion','razones desconocidas','no respetar las ordenes del agente de transito','impericia del conductor'}
@attribute nro_heridos {1h,0h,3h,2h,4h,5h,6h}
@attribute nro_fallecidos {0fa,1fa}

@data
viernes,h06,'choque lateral angular',sucre,-0.5,'conducir en estado de embriaguez','imprudencia del conductor',1h,0fa
miercoles,h10,'perdida de carril','el valle',-0.696629,'conducir en exceso de velocidad','condiciones climaticas desfavorables',1h,0fa
miercoles,h19,'perdida de pista',sucre,-0.333333,'conducir en exceso de velocidad','conducir en estado de embriaguez',0h,0fa
viernes,h01,estrellamiento,'el valle',-0.305085,'conducir en exceso de velocidad','imprudencia del conductor',0h,0fa
domingo,h02,estrellamiento,sucre,-0.122881,'conducir en exceso de velocidad','conducir en estado de embriaguez',1h,0fa
domingo,h02,estrellamiento,'el sagrario',0.122881,'conducir en exceso de velocidad','conducir en exceso de velocidad',0h,0fa
domingo,h20,'choque lateral angular','san sebastian',1,'conducir en estado de embriaguez','conducir en estado de embriaguez',1h,0fa
jueves,h11,'choque lateral perpendicular','san sebastian',0.1,'no respetar las senales de transito','no respetar las senales de transito',0h,0fa
sabado,h17,'perdida de pista',sucre,0.333333,'conducir en exceso de velocidad','conducir en exceso de velocidad',0h,0fa
domingo,h01,'roce negativo',punzara,-0.241379,'imprudencia del conductor','conducir en estado de embriaguez',0h,0fa
domingo,h04,estrellamiento,sucre,-0.122881,'conducir en exceso de velocidad','conducir en estado de embriaguez',0h,0fa
miercoles,h14,'choque lateral perpendicular',carigan,-0.333333,'no ceder el derecho de via','imprudencia del conductor',0h,0fa
miercoles,h21,'choque lateral angular',carigan,-0.3,'imprudencia del conductor','conducir en estado de embriaguez',0h,0fa
martes,h21,estrellamiento,sucre,-0.305085,'conducir en exceso de velocidad','imprudencia del conductor',0h,0fa
domingo,h21,'perdida de carril',sucre,-0.662921,'conducir en exceso de velocidad','fallas mecanicas no previsibles',6h,0fa
lunes,h07,'choque por alcance',carigan,-0.358209,'no mantener la distancia reglamentaria','imprudencia del conductor',0h,0fa
lunes,h20,estrellamiento,carigan,0.122881,'conducir en exceso de velocidad','conducir en exceso de velocidad',0h,0fa
martes,h07,'choque lateral perpendicular','san sebastian',-0.25,'no ceder el derecho de via','imprudencia del conductor',0h,0fa
domingo,h10,'choque lateral perpendicular',sucre,-0.071429,'imprudencia del conductor','no respetar las senales de transito',0h,0fa
sabado,h14,'choque lateral perpendicular',sucre,-0.466667,'no ceder el derecho de via','conducir en exceso de velocidad',1h,0fa
viernes,h15,'choque lateral perpendicular','el sagrario',-0.222222,'no ceder el derecho de via','imprudencia del conductor',0h,0fa
miercoles,h12,atropello,'el sagrario',-0.407407,'imprudencia del peaton','imprudencia del conductor',1h,0fa
