dia,hora,tipologia,parroquia_urbana,causas,nro_heridos,nro_fallecidos
miercoles,h06,estrellamiento,carigan,conducir en exceso de velocidad,0h,0fa
sabado,h17,atropello,sucre,imprudencia del peaton,1h,0fa
domingo,h01,choque lateral perpendicular,sucre,no ceder el derecho de via,1h,0fa
sabado,h12,estrellamiento,san sebastian,conducir en exceso de velocidad,3h,0fa
miercoles,h15,estrellamiento,sucre,conducir en exceso de velocidad,0h,0fa
miercoles,h18,perdida de carril,carigan,conducir en exceso de velocidad,0h,0fa
jueves,h11,estrellamiento,sucre,conducir en estado de embriaguez,0h,0fa
viernes,h04,perdida de carril,sucre,conducir en exceso de velocidad,0h,0fa
viernes,h13,choque lateral perpendicular,el sagrario,no ceder el derecho de via,1h,0fa
viernes,h13,atropello,el sagrario,imprudencia del peaton,1h,0fa
viernes,h16,estrellamiento,sucre,conducir en exceso de velocidad,1h,0fa
domingo,h15,choque por alcance,san sebastian,conducir en estado de embriaguez,0h,0fa
domingo,h19,choque por alcance,sucre,no mantener la distancia reglamentaria,0h,0fa
domingo,h21,choque frontal excentrico,sucre,invadir carril de circulacion,1h,0fa
lunes,h03,estrellamiento,punzara,conducir en exceso de velocidad,3h,0fa
martes,h07,choque lateral perpendicular,san sebastian,imprudencia del conductor,1h,0fa
miercoles,h16,atipico,san sebastian,imprudencia del conductor,1h,0fa
jueves,h11,choque lateral angular,san sebastian,no ceder el derecho de via,0h,0fa
sabado,h06,choque por alcance,san sebastian,no mantener la distancia reglamentaria,0h,0fa
viernes,h22,choque lateral perpendicular,san sebastian,conducir en exceso de velocidad,0h,1fa
sabado,h18,choque lateral perpendicular,el valle,conducir en estado de embriaguez,0h,0fa
lunes,h11,atropello,el valle,imprudencia del peaton,1h,0fa
lunes,h14,choque lateral angular,el valle,no ceder el derecho de via,0h,0fa
lunes,h21,atropello,carigan,imprudencia del peaton,1h,0fa
miercoles,h21,choque lateral perpendicular,el valle,no respetar las senales de transito,0h,0fa
jueves,h03,estrellamiento,san sebastian,conducir en exceso de velocidad,0h,0fa
viernes,h06,estrellamiento,el sagrario,conducir en exceso de velocidad,1h,0fa
sabado,h05,perdida de carril,sucre,conducir en exceso de velocidad,0h,0fa
domingo,h09,choque lateral perpendicular,san sebastian,no ceder el derecho de via,0h,0fa
lunes,h09,roce negativo,sucre,no mantener la distancia reglamentaria,0h,0fa
lunes,h13,choque lateral perpendicular,san sebastian,no ceder el derecho de via,0h,0fa
lunes,h22,choque lateral angular,el sagrario,no ceder el derecho de via,0h,0fa
martes,h00,perdida de carril,el valle,conducir en exceso de velocidad,0h,0fa
martes,h04,estrellamiento,el sagrario,conducir en exceso de velocidad,0h,0fa
martes,h17,choque lateral angular,sucre,imprudencia del conductor,0h,0fa
miercoles,h18,atipico,san sebastian,imprudencia del conductor,1h,0fa
jueves,h10,choque lateral angular,san sebastian,imprudencia del conductor,1h,0fa
jueves,h22,choque lateral perpendicular,san sebastian,no ceder el derecho de via,2h,0fa
sabado,h09,atropello,el sagrario,imprudencia del peaton,1h,0fa
sabado,h14,choque lateral perpendicular,el valle,conducir en estado de embriaguez,0h,0fa
sabado,h10,choque lateral angular,el valle,no ceder el derecho de via,0h,0fa
lunes,h07,choque lateral angular,punzara,no ceder el derecho de via,0h,0fa
miercoles,h00,perdida de carril,el sagrario,conducir en exceso de velocidad,0h,0fa
miercoles,h09,choque lateral perpendicular,punzara,conducir en exceso de velocidad,0h,0fa
sabado,h01,estrellamiento,sucre,conducir en exceso de velocidad,0h,0fa
sabado,h02,estrellamiento,sucre,conducir en estado de embriaguez,0h,0fa
sabado,h15,choque lateral perpendicular,el sagrario,no ceder el derecho de via,0h,0fa
domingo,h01,choque lateral perpendicular,el sagrario,conducir en estado de embriaguez,0h,0fa
domingo,h04,choque lateral angular,el sagrario,conducir en estado de embriaguez,1h,0fa
lunes,h07,colision,san sebastian,imprudencia del conductor,1h,0fa
lunes,h14,atropello,san sebastian,imprudencia del peaton,1h,0fa
lunes,h17,choque lateral angular,punzara,imprudencia del conductor,0h,0fa
martes,h13,choque lateral angular,el valle,imprudencia del conductor,1h,0fa
viernes,h07,choque lateral angular,el sagrario,no ceder el derecho de via,0h,0fa
domingo,h02,perdida de carril,punzara,conducir en exceso de velocidad,0h,0fa
domingo,h03,perdida de carril,sucre,conducir en exceso de velocidad,0h,1fa
sabado,h16,choque lateral perpendicular,el sagrario,no ceder el derecho de via,0h,0fa
domingo,h19,choque frontal excentrico,punzara,invadir carril de circulacion,1h,0fa
martes,h20,choque lateral angular,sucre,razones desconocidas,1h,0fa
miercoles,h04,estrellamiento,el valle,conducir en estado de embriaguez,2h,0fa
jueves,h18,perdida de carril,san sebastian,conducir en estado de embriaguez,2h,0fa
viernes,h18,choque lateral angular,el sagrario,conducir en estado de embriaguez,0h,0fa
sabado,h03,perdida de carril,sucre,conducir en exceso de velocidad,0h,0fa
sabado,h15,choque lateral perpendicular,el sagrario,no ceder el derecho de via,0h,0fa
domingo,h14,choque lateral perpendicular,el sagrario,no ceder el derecho de via,0h,0fa
domingo,h19,choque por alcance,sucre,conducir en estado de embriaguez,0h,0fa
lunes,h08,choque lateral perpendicular,el sagrario,cambio brusco e indebido de carril,0h,0fa
martes,h05,choque lateral perpendicular,sucre,no ceder el derecho de via,1h,0fa
miercoles,h05,estrellamiento,punzara,conducir en exceso de velocidad,1h,0fa
jueves,h15,choque lateral angular,el sagrario,cambio brusco e indebido de carril,1h,0fa
viernes,h14,choque lateral angular,sucre,conducir en estado de embriaguez,1h,0fa
sabado,h03,estrellamiento,el sagrario,conducir en exceso de velocidad,0h,0fa
domingo,h02,atipico,carigan,imprudencia del conductor,0h,0fa
domingo,h04,estrellamiento,punzara,conducir en estado de embriaguez,4h,1fa
domingo,h12,choque frontal excentrico,sucre,invadir carril de circulacion,4h,0fa
sabado,h02,choque lateral perpendicular,san sebastian,no ceder el derecho de via,1h,0fa
lunes,h15,estrellamiento,el valle,conducir en exceso de velocidad,0h,0fa
lunes,h23,choque lateral perpendicular,sucre,no respetar las senales de transito,0h,0fa
lunes,h23,perdida de carril,punzara,conducir en exceso de velocidad,0h,0fa
miercoles,h01,estrellamiento,sucre,conducir en exceso de velocidad,0h,0fa
miercoles,h05,perdida de carril,punzara,conducir en exceso de velocidad,0h,1fa
miercoles,h06,choque lateral angular,sucre,cambio brusco e indebido de carril,0h,0fa
miercoles,h08,roce negativo,punzara,imprudencia del conductor,0h,0fa
jueves,h08,choque por alcance,punzara,no mantener la distancia reglamentaria,0h,0fa
jueves,h19,choque lateral angular,el valle,conducir en estado de embriaguez,1h,0fa
domingo,h02,choque lateral perpendicular,el sagrario,conducir en exceso de velocidad,0h,0fa
domingo,h06,choque lateral angular,sucre,conducir en estado de embriaguez,1h,0fa
domingo,h18,atropello,sucre,imprudencia del peaton,1h,0fa
lunes,h09,choque por alcance,carigan,conducir en estado de embriaguez,0h,0fa
lunes,h15,atropello,sucre,imprudencia del peaton,1h,0fa
lunes,h18,choque lateral angular,carigan,no ceder el derecho de via,2h,0fa
miercoles,h19,atropello,el sagrario,imprudencia del peaton,1h,0fa
viernes,h20,choque lateral angular,carigan,imprudencia del peaton,6h,0fa
viernes,h03,estrellamiento,sucre,conducir en estado de embriaguez,1h,1fa
miercoles,h13,roce negativo,el sagrario,no mantener la distancia reglamentaria,0h,0fa
viernes,h06,estrellamiento,el valle,conducir en exceso de velocidad,0h,0fa
sabado,h05,choque lateral perpendicular,el sagrario,no ceder el derecho de via,1h,0fa
sabado,h02,estrellamiento,punzara,conducir en exceso de velocidad,1h,0fa
domingo,h01,estrellamiento,el valle,conducir en exceso de velocidad,1h,0fa
sabado,h15,estrellamiento,san sebastian,conducir en exceso de velocidad,0h,0fa
miercoles,h06,atropello,sucre,imprudencia del conductor,1h,0fa
viernes,h04,choque lateral perpendicular,el sagrario,no ceder el derecho de via,0h,0fa
viernes,h21,estrellamiento,sucre,conducir en exceso de velocidad,0h,0fa
sabado,h11,choque frontal excentrico,carigan,invadir carril de circulacion,1h,0fa
sabado,h17,estrellamiento,sucre,conducir en exceso de velocidad,0h,0fa
sabado,h22,estrellamiento,sucre,conducir en exceso de velocidad,0h,0fa
domingo,h03,estrellamiento,san sebastian,conducir en exceso de velocidad,0h,0fa
lunes,h09,atropello,el sagrario,imprudencia del peaton,1h,0fa
jueves,h12,choque lateral angular,san sebastian,no ceder el derecho de via,0h,0fa
