dia,hora,tipologia,parroquia_urbana,causas,nro_heridos,nro_fallecidos
miercoles,h13,atropello,punzara,imprudencia del peaton,1h,0fa
jueves,h20,atropello,sucre,negligencia del conductor,1h,0fa
viernes,h18,choque lateral perpendicular,san sebastian,condiciones climaticas desfavorables,1h,0fa
viernes,h21,estrellamiento,carigan,fallas mecanicas no previsibles,0h,0fa
sabado,h19,choque lateral perpendicular,el sagrario,imprudencia del conductor,0h,0fa
sabado,h20,estrellamiento,san sebastian,imprudencia del conductor,0h,0fa
domingo,h20,estrellamiento,sucre,imprudencia del conductor,0h,0fa
domingo,h02,choque frontal longitudinal,sucre,conducir en estado de embriaguez,1h,0fa
lunes,h17,atropello,sucre,conducir en estado de embriaguez,0h,0fa
lunes,h20,choque lateral perpendicular,el sagrario,condiciones climaticas desfavorables,1h,0fa
martes,h12,choque lateral angular,sucre,no ceder el derecho de via,0h,0fa
miercoles,h12,roce negativo,punzara,cambio brusco e indebido de carril,0h,0fa
miercoles,h03,estrellamiento,el sagrario,no mantener la distancia reglamentaria,0h,0fa
viernes,h16,colision,sucre,negligencia del conductor,0h,0fa
viernes,h17,atropello,el valle,imprudencia del peaton,1h,0fa
viernes,h01,estrellamiento,el valle,imprudencia del conductor,0h,0fa
sabado,h08,choque lateral angular,san sebastian,conducir en estado de embriaguez,1h,0fa
sabado,h05,estrellamiento,el valle,conducir en estado de embriaguez,0h,0fa
sabado,h01,choque lateral angular,punzara,conducir en estado de embriaguez,0h,0fa
domingo,h14,atropello,san sebastian,imprudencia del peaton,1h,0fa
domingo,h23,choque lateral angular,el sagrario,imprudencia del conductor,0h,0fa
lunes,h03,roce negativo,san sebastian,imprudencia del conductor,0h,0fa
miercoles,h14,choque lateral perpendicular,punzara,cambio brusco e indebido de carril,0h,0fa
miercoles,h13,estrellamiento,carigan,imprudencia del conductor,0h,0fa
miercoles,h07,choque por alcance,carigan,conducir en estado de embriaguez,0h,0fa
sabado,h08,choque lateral perpendicular,el sagrario,negligencia del conductor,0h,0fa
sabado,h08,estrellamiento,sucre,negligencia del conductor,0h,0fa
domingo,h10,choque por alcance,sucre,imprudencia del conductor,1h,0fa
domingo,h15,choque lateral perpendicular,el sagrario,negligencia del conductor,1h,0fa
domingo,h03,choque lateral angular,sucre,conducir en estado de embriaguez,0h,0fa
lunes,h12,roce positivo,sucre,negligencia del conductor,1h,0fa
martes,h19,estrellamiento,carigan,fallas mecanicas no previsibles,0h,0fa
martes,h05,perdida de carril,san sebastian,negligencia del conductor,0h,0fa
miercoles,h12,roce negativo,carigan,negligencia del conductor,0h,0fa
jueves,h12,choque por alcance,el sagrario,no mantener la distancia reglamentaria,0h,0fa
viernes,h05,estrellamiento,san sebastian,conducir en estado de embriaguez,0h,0fa
viernes,h13,roce negativo,el sagrario,imprudencia del conductor,0h,0fa
viernes,h00,choque por alcance,el valle,conducir en estado de embriaguez,0h,0fa
sabado,h03,choque lateral perpendicular,el sagrario,imprudencia del conductor,1h,0fa
sabado,h03,choque frontal excentrico,sucre,imprudencia del conductor,0h,0fa
lunes,h20,atropello,el sagrario,imprudencia del peaton,1h,0fa
miercoles,h14,estrellamiento,san sebastian,imprudencia del conductor,0h,0fa
jueves,h03,estrellamiento,carigan,imprudencia del conductor,0h,0fa
viernes,h07,choque lateral perpendicular,el sagrario,imprudencia del conductor,1h,0fa
viernes,h03,estrellamiento,san sebastian,conducir en estado de embriaguez,0h,0fa
sabado,h08,roce positivo,punzara,conducir en estado de embriaguez,0h,0fa
sabado,h18,choque lateral perpendicular,el sagrario,imprudencia del conductor,0h,0fa
miercoles,h12,choque lateral angular,el sagrario,inobservancia de leyes de transito,0h,0fa
miercoles,h11,choque lateral perpendicular,el sagrario,no respetar las senales de transito,3h,0fa
jueves,h09,estrellamiento,punzara,imprudencia del conductor,0h,0fa
jueves,h01,choque lateral perpendicular,el sagrario,imprudencia del conductor,0h,0fa
viernes,h05,perdida de carril,el sagrario,imprudencia del conductor,1h,0fa
viernes,h08,roce negativo,san sebastian,conducir en estado de embriaguez,0h,0fa
sabado,h14,caida de pasajero,el sagrario,inobservancia de leyes de transito,1h,0fa
sabado,h00,choque lateral angular,sucre,no respetar las senales de transito,1h,0fa
sabado,h05,choque frontal excentrico,el sagrario,conducir en estado de embriaguez,0h,0fa
sabado,h17,roce negativo,el sagrario,inobservancia de leyes de transito,0h,0fa
sabado,h08,estrellamiento,punzara,conducir en estado de embriaguez,0h,0fa
sabado,h22,roce negativo,sucre,conducir en estado de embriaguez,0h,0fa
sabado,h12,choque frontal excentrico,el valle,conducir en estado de embriaguez,0h,0fa
domingo,h08,estrellamiento,el sagrario,conducir en estado de embriaguez,0h,0fa
lunes,h14,choque lateral perpendicular,el sagrario,imprudencia del conductor,0h,0fa
lunes,h16,choque lateral perpendicular,el sagrario,imprudencia del conductor,0h,0fa
viernes,h05,estrellamiento,el valle,conducir en estado de embriaguez,0h,0fa
sabado,h06,choque lateral perpendicular,el valle,conducir en estado de embriaguez,0h,0fa
sabado,h02,estrellamiento,sucre,fallas mecanicas no previsibles,0h,0fa
domingo,h04,choque lateral perpendicular,el sagrario,conducir en estado de embriaguez,0h,0fa
domingo,h00,estrellamiento,sucre,imprudencia del conductor,0h,0fa
martes,h00,estrellamiento,el valle,conducir en estado de embriaguez,0h,0fa
miercoles,h20,choque por alcance,sucre,imprudencia del conductor,0h,0fa
miercoles,h19,choque lateral angular,sucre,imprudencia del conductor,1h,0fa
jueves,h11,estrellamiento,sucre,imprudencia del conductor,0h,0fa
jueves,h11,choque lateral perpendicular,el sagrario,imprudencia del conductor,1h,0fa
jueves,h12,choque lateral perpendicular,sucre,imprudencia del conductor,0h,0fa
domingo,h09,choque lateral perpendicular,el sagrario,imprudencia del conductor,0h,0fa
domingo,h18,choque lateral angular,sucre,imprudencia del conductor,0h,0fa
domingo,h21,choque lateral angular,sucre,imprudencia del conductor,0h,0fa
domingo,h04,choque lateral angular,sucre,imprudencia del conductor,1h,0fa
lunes,h22,atropello,el valle,imprudencia del peaton,1h,0fa
martes,h13,perdida de carril,sucre,imprudencia del conductor,0h,0fa
martes,h16,choque lateral perpendicular,san sebastian,imprudencia del conductor,0h,0fa
martes,h18,colision,sucre,imprudencia del conductor,0h,0fa
miercoles,h19,choque lateral perpendicular,sucre,imprudencia del conductor,0h,0fa
miercoles,h00,choque lateral angular,sucre,imprudencia del conductor,0h,0fa
miercoles,h01,estrellamiento,el sagrario,conducir en estado de embriaguez,0h,0fa
jueves,h12,choque lateral perpendicular,sucre,imprudencia del conductor,0h,0fa
jueves,h13,choque lateral perpendicular,el sagrario,imprudencia del conductor,0h,0fa
jueves,h03,choque lateral perpendicular,el sagrario,imprudencia del conductor,2h,0fa
viernes,h17,atropello,sucre,imprudencia del peaton,1h,0fa
viernes,h20,choque por alcance,carigan,cambio brusco e indebido de carril,0h,0fa
sabado,h04,roce negativo,sucre,imprudencia del conductor,1h,0fa
sabado,h12,choque lateral perpendicular,el sagrario,imprudencia del conductor,0h,0fa
lunes,h06,estrellamiento,sucre,imprudencia del conductor,0h,0fa
lunes,h12,roce negativo,punzara,imprudencia del conductor,0h,0fa
lunes,h12,choque lateral perpendicular,el sagrario,imprudencia del conductor,0h,0fa
lunes,h21,choque frontal longitudinal,sucre,fallas mecanicas no previsibles,1h,0fa
jueves,h12,colision,el sagrario,imprudencia del conductor,0h,0fa
jueves,h22,estrellamiento,san sebastian,imprudencia del conductor,0h,0fa
viernes,h21,choque por alcance,punzara,imprudencia del conductor,2h,0fa
viernes,h10,estrellamiento,el sagrario,negligencia del conductor,0h,0fa
viernes,h18,estrellamiento,punzara,conducir en estado de embriaguez,0h,0fa
sabado,h09,choque lateral perpendicular,el sagrario,conducir en estado de embriaguez,0h,0fa
lunes,h15,choque por alcance,sucre,no mantener la distancia reglamentaria,0h,0fa
lunes,h20,estrellamiento,sucre,inobservancia de leyes de transito,0h,0fa
lunes,h03,choque lateral angular,punzara,imprudencia del conductor,0h,0fa
miercoles,h01,choque frontal excentrico,carigan,imprudencia del conductor,2h,0fa
viernes,h14,choque lateral perpendicular,punzara,no ceder el derecho de via,1h,0fa
sabado,h12,choque lateral angular,punzara,conducir en estado de embriaguez,2h,0fa
sabado,h02,choque lateral perpendicular,san sebastian,inobservancia de leyes de transito,0h,0fa
domingo,h09,choque lateral perpendicular,san sebastian,inobservancia de leyes de transito,0h,0fa
domingo,h07,estrellamiento,sucre,conducir en estado de embriaguez,0h,0fa
lunes,h20,perdida de carril,punzara,fallas mecanicas no previsibles,1h,0fa
martes,h05,choque lateral angular,sucre,cambio brusco e indebido de carril,1h,0fa
martes,h21,estrellamiento,sucre,inobservancia de leyes de transito,0h,0fa
miercoles,h17,choque por alcance,san sebastian,imprudencia del conductor,0h,0fa
miercoles,h18,choque lateral perpendicular,el sagrario,no respetar las senales de transito,0h,0fa
jueves,h15,choque por alcance,carigan,no mantener la distancia reglamentaria,0h,0fa
viernes,h09,estrellamiento,el sagrario,conducir en estado de embriaguez,0h,0fa
sabado,h01,estrellamiento,carigan,conducir en estado de embriaguez,0h,0fa
sabado,h08,choque lateral perpendicular,el sagrario,no ceder el derecho de via,0h,0fa
domingo,h10,choque lateral angular,sucre,conducir en estado de embriaguez,0h,0fa
lunes,h13,atropello,sucre,imprudencia del conductor,0h,0fa
martes,h01,choque lateral angular,san sebastian,no ceder el derecho de via,0h,0fa
miercoles,h04,choque lateral angular,el valle,conducir en estado de embriaguez,0h,0fa
jueves,h18,choque lateral perpendicular,punzara,no ceder el derecho de via,1h,0fa
jueves,h19,choque lateral perpendicular,sucre,conducir en estado de embriaguez,0h,0fa
jueves,h02,choque lateral perpendicular,el sagrario,conducir en estado de embriaguez,2h,0fa
jueves,h03,choque por alcance,el sagrario,conducir en estado de embriaguez,0h,0fa
viernes,h10,estrellamiento,san sebastian,inobservancia de leyes de transito,0h,0fa
sabado,h09,choque lateral perpendicular,sucre,conducir en estado de embriaguez,2h,0fa
sabado,h22,choque lateral perpendicular,el sagrario,imprudencia del conductor,0h,0fa
domingo,h22,atropello,punzara,imprudencia del peaton,1h,0fa
domingo,h07,choque lateral perpendicular,el sagrario,conducir en estado de embriaguez,0h,0fa
domingo,h01,perdida de carril,punzara,imprudencia del conductor,4h,0fa
lunes,h01,choque lateral angular,carigan,conducir en estado de embriaguez,1h,0fa
lunes,h05,choque lateral perpendicular,el sagrario,conducir en estado de embriaguez,2h,0fa
jueves,h05,estrellamiento,san sebastian,imprudencia del conductor,0h,0fa
jueves,h16,colision,sucre,imprudencia del conductor,0h,0fa
viernes,h00,perdida de pista,sucre,conducir en exceso de velocidad,0h,0fa
sabado,h10,estrellamiento,sucre,conducir en estado de embriaguez,0h,0fa
sabado,h00,choque por alcance,sucre,conducir en estado de embriaguez,0h,0fa
domingo,h11,choque lateral perpendicular,el sagrario,no respetar las senales de transito,0h,0fa
domingo,h09,choque lateral perpendicular,san sebastian,conducir en estado de embriaguez,1h,0fa
domingo,h04,choque lateral angular,el sagrario,conducir en estado de embriaguez,1h,0fa
lunes,h22,choque lateral perpendicular,san sebastian,conducir en estado de embriaguez,0h,0fa
lunes,h01,choque lateral angular,carigan,conducir en estado de embriaguez,0h,0fa
lunes,h04,choque lateral perpendicular,el sagrario,conducir en estado de embriaguez,1h,0fa
martes,h04,estrellamiento,sucre,conducir en estado de embriaguez,0h,0fa
martes,h06,estrellamiento,punzara,imprudencia del conductor,0h,0fa
martes,h06,roce positivo,sucre,imprudencia del conductor,2h,0fa
martes,h02,choque lateral angular,carigan,imprudencia del conductor,0h,0fa
martes,h03,estrellamiento,punzara,conducir en estado de embriaguez,0h,0fa
miercoles,h13,choque lateral angular,el sagrario,no ceder el derecho de via,2h,0fa
jueves,h19,estrellamiento,carigan,conducir en exceso de velocidad,1h,0fa
sabado,h01,choque lateral perpendicular,el sagrario,no ceder el derecho de via,0h,0fa
domingo,h02,choque lateral perpendicular,el sagrario,conducir en estado de embriaguez,0h,0fa
lunes,h07,choque lateral angular,sucre,no ceder el derecho de via,0h,0fa
lunes,h20,choque frontal excentrico,sucre,cambio brusco e indebido de carril,3h,0fa
miercoles,h12,atropello,carigan,imprudencia del conductor,2h,0fa
jueves,h11,atropello,el sagrario,imprudencia del conductor,1h,0fa
viernes,h10,choque lateral perpendicular,el sagrario,no ceder el derecho de via,2h,0fa
viernes,h18,choque lateral perpendicular,el valle,no ceder el derecho de via,0h,0fa
sabado,h22,choque lateral perpendicular,punzara,conducir en estado de embriaguez,1h,0fa
sabado,h01,choque lateral angular,carigan,conducir en estado de embriaguez,0h,0fa
sabado,h12,perdida de carril,san sebastian,fallas mecanicas no previsibles,2h,0fa
sabado,h21,choque lateral perpendicular,punzara,no ceder el derecho de via,2h,0fa
domingo,h06,perdida de carril,carigan,fallas mecanicas no previsibles,0h,0fa
domingo,h14,choque lateral angular,el valle,no respetar las senales de transito,0h,0fa
domingo,h13,choque lateral angular,san sebastian,no respetar las senales de transito,0h,0fa
lunes,h16,choque lateral angular,punzara,no ceder el derecho de via,1h,0fa
martes,h10,colision,punzara,conducir en estado de embriaguez,1h,0fa
miercoles,h12,atipico,san sebastian,imprudencia del conductor,0h,0fa
jueves,h09,choque lateral perpendicular,el valle,cambio brusco e indebido de carril,1h,0fa
jueves,h22,choque lateral perpendicular,san sebastian,no ceder el derecho de via,2h,0fa
jueves,h22,estrellamiento,el valle,conducir en estado de embriaguez,4h,0fa
viernes,h23,choque lateral perpendicular,sucre,invadir carril de circulacion,0h,0fa
sabado,h01,choque lateral angular,el sagrario,imprudencia del conductor,0h,0fa
sabado,h14,choque lateral perpendicular,punzara,no ceder el derecho de via,0h,0fa
sabado,h21,choque por alcance,el sagrario,conducir en estado de embriaguez,1h,0fa
domingo,h18,perdida de carril,punzara,conducir en exceso de velocidad,0h,0fa
domingo,h00,estrellamiento,carigan,conducir en estado de embriaguez,0h,0fa
lunes,h09,choque lateral perpendicular,sucre,no ceder el derecho de via,0h,0fa
martes,h15,atropello,sucre,conducir en exceso de velocidad,1h,0fa
miercoles,h03,estrellamiento,san sebastian,conducir en exceso de velocidad,0h,0fa
viernes,h10,choque lateral perpendicular,san sebastian,conducir en exceso de velocidad,0h,0fa
viernes,h16,atropello,san sebastian,conducir en exceso de velocidad,1h,0fa
domingo,h04,encunetamiento,carigan,conducir en exceso de velocidad,0h,0fa
domingo,h06,choque frontal excentrico,carigan,conducir en estado de embriaguez,1h,0fa
domingo,h17,atropello,sucre,conducir en estado de embriaguez,1h,0fa
domingo,h19,estrellamiento,carigan,conducir en estado de embriaguez,1h,1fa
viernes,h12,atropello,sucre,imprudencia del peaton,1h,0fa
sabado,h16,choque lateral perpendicular,el sagrario,conducir en exceso de velocidad,1h,0fa
domingo,h06,choque lateral angular,sucre,imprudencia del conductor,0h,0fa
domingo,h04,estrellamiento,sucre,conducir en estado de embriaguez,0h,0fa
domingo,h16,estrellamiento,sucre,fallas mecanicas no previsibles,0h,0fa
lunes,h23,perdida de carril,carigan,conducir en estado de embriaguez,1h,0fa
martes,h09,choque lateral angular,el valle,no ceder el derecho de via,0h,0fa
martes,h19,choque lateral angular,carigan,imprudencia del conductor,0h,0fa
miercoles,h07,choque lateral perpendicular,el sagrario,no ceder el derecho de via,2h,0fa
miercoles,h06,choque lateral perpendicular,el sagrario,no ceder el derecho de via,0h,0fa
viernes,h13,choque lateral angular,el valle,no ceder el derecho de via,0h,0fa
sabado,h02,choque lateral perpendicular,el sagrario,imprudencia del conductor,1h,0fa
sabado,h01,estrellamiento,sucre,conducir en estado de embriaguez,0h,0fa
domingo,h19,choque lateral perpendicular,el sagrario,no ceder el derecho de via,0h,0fa
domingo,h03,estrellamiento,carigan,conducir en exceso de velocidad,1h,0fa
domingo,h05,estrellamiento,el valle,conducir en exceso de velocidad,0h,0fa
domingo,h08,estrellamiento,sucre,conducir en exceso de velocidad,0h,0fa
domingo,h08,choque lateral angular,sucre,cambio brusco e indebido de carril,0h,0fa
domingo,h09,choque lateral perpendicular,san sebastian,no respetar las senales de transito,0h,0fa
domingo,h15,choque lateral angular,carigan,cambio brusco e indebido de carril,1h,0fa
domingo,h15,perdida de carril,el valle,conducir en exceso de velocidad,4h,0fa
lunes,h19,estrellamiento,sucre,conducir en estado de embriaguez,0h,0fa
martes,h15,atipico,punzara,imprudencia del conductor,1h,0fa
martes,h21,choque lateral perpendicular,san sebastian,no ceder el derecho de via,3h,0fa
miercoles,h18,atipico,sucre,imprudencia del conductor,0h,0fa
miercoles,h22,choque lateral angular,san sebastian,no respetar las senales de transito,0h,0fa
jueves,h10,choque lateral perpendicular,sucre,no ceder el derecho de via,1h,0fa
jueves,h15,choque lateral perpendicular,sucre,no respetar las senales de transito,1h,0fa
viernes,h07,choque lateral perpendicular,punzara,conducir en estado de embriaguez,2h,0fa
viernes,h04,estrellamiento,punzara,conducir en exceso de velocidad,1h,0fa
jueves,h15,estrellamiento,san sebastian,imprudencia del conductor,0h,0fa
sabado,h22,choque lateral angular,sucre,conducir en estado de embriaguez,1h,0fa
domingo,h14,choque lateral perpendicular,san sebastian,no ceder el derecho de via,1h,0fa
domingo,h16,atropello,sucre,conducir en estado de embriaguez,2h,0fa
miercoles,h10,choque lateral perpendicular,el valle,no ceder el derecho de via,0h,0fa
miercoles,h20,atropello,punzara,imprudencia del peaton,1h,0fa
jueves,h14,perdida de carril,el valle,conducir en exceso de velocidad,0h,0fa
jueves,h18,perdida de carril,carigan,conducir en estado de embriaguez,5h,1fa
domingo,h06,choque lateral perpendicular,sucre,conducir en estado de embriaguez,0h,0fa
domingo,h15,estrellamiento,sucre,conducir en exceso de velocidad,0h,0fa
lunes,h17,arrollamiento,carigan,imprudencia del peaton,1h,0fa
lunes,h19,choque por alcance,punzara,conducir en estado de embriaguez,2h,0fa
lunes,h23,choque lateral perpendicular,san sebastian,no ceder el derecho de via,1h,0fa
martes,h08,choque lateral angular,sucre,no respetar las senales de transito,1h,0fa
martes,h01,estrellamiento,el valle,conducir en exceso de velocidad,0h,0fa
martes,h22,choque lateral angular,punzara,conducir en estado de embriaguez,0h,0fa
miercoles,h07,choque lateral angular,el valle,no ceder el derecho de via,0h,0fa
jueves,h16,choque por alcance,el sagrario,no mantener la distancia reglamentaria,0h,0fa
viernes,h04,estrellamiento,carigan,conducir en exceso de velocidad,0h,0fa
viernes,h21,choque lateral perpendicular,el sagrario,conducir en estado de embriaguez,2h,0fa
domingo,h05,estrellamiento,sucre,conducir en exceso de velocidad,0h,0fa
lunes,h23,estrellamiento,sucre,conducir en exceso de velocidad,0h,0fa
martes,h19,estrellamiento,el valle,conducir en estado de embriaguez,1h,0fa
miercoles,h05,estrellamiento,el valle,conducir en exceso de velocidad,0h,0fa
jueves,h01,estrellamiento,punzara,conducir en estado de embriaguez,0h,0fa
jueves,h09,choque lateral angular,sucre,no ceder el derecho de via,1h,0fa
jueves,h11,atropello,el sagrario,imprudencia del peaton,1h,0fa
jueves,h13,atropello,san sebastian,conducir en estado de embriaguez,2h,0fa
sabado,h11,atropello,sucre,imprudencia del peaton,1h,0fa
domingo,h02,estrellamiento,el sagrario,conducir en estado de embriaguez,0h,0fa
domingo,h05,perdida de carril,sucre,conducir en exceso de velocidad,1h,0fa
domingo,h17,colision,punzara,conducir en estado de embriaguez,2h,0fa
