dia,hora,tipologia,parroquia_urbana,causas,nro_heridos,nro_fallecidos
lunes_martes_miercoles,h12_h17,atropello,punzara,imprudencia del peaton,1h,0fa
jueves_viernes,h18_h23,atropello,sucre,negligencia del conductor,1h,0fa
jueves_viernes,h18_h23,choque,san sebastian,condiciones climaticas desfavorables,1h,0fa
jueves_viernes,h18_h23,estrellamiento,carigan,fallas mecanicas no previsibles,0h,0fa
sabado_domingo,h18_h23,choque,el sagrario,imprudencia del conductor,0h,0fa
sabado_domingo,h18_h23,estrellamiento,san sebastian,imprudencia del conductor,0h,0fa
sabado_domingo,h18_h23,estrellamiento,sucre,imprudencia del conductor,0h,0fa
sabado_domingo,h00_h05,choque,sucre,conducir en estado de embriaguez,1h,0fa
lunes_martes_miercoles,h12_h17,atropello,sucre,conducir en estado de embriaguez,0h,0fa
lunes_martes_miercoles,h18_h23,choque,el sagrario,condiciones climaticas desfavorables,1h,0fa
lunes_martes_miercoles,h12_h17,choque,sucre,no ceder el derecho de via,0h,0fa
lunes_martes_miercoles,h12_h17,roce,punzara,cambio brusco e indebido de carril,0h,0fa
lunes_martes_miercoles,h00_h05,estrellamiento,el sagrario,no mantener la distancia reglamentaria,0h,0fa
jueves_viernes,h12_h17,colision,sucre,negligencia del conductor,0h,0fa
jueves_viernes,h12_h17,atropello,el valle,imprudencia del peaton,1h,0fa
jueves_viernes,h00_h05,estrellamiento,el valle,imprudencia del conductor,0h,0fa
sabado_domingo,h06_h11,choque,san sebastian,conducir en estado de embriaguez,1h,0fa
sabado_domingo,h00_h05,estrellamiento,el valle,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h00_h05,choque,punzara,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h12_h17,atropello,san sebastian,imprudencia del peaton,1h,0fa
sabado_domingo,h18_h23,choque,el sagrario,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h00_h05,roce,san sebastian,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h12_h17,choque,punzara,cambio brusco e indebido de carril,0h,0fa
lunes_martes_miercoles,h12_h17,estrellamiento,carigan,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h06_h11,choque,carigan,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h06_h11,choque,el sagrario,negligencia del conductor,0h,0fa
sabado_domingo,h06_h11,estrellamiento,sucre,negligencia del conductor,0h,0fa
sabado_domingo,h06_h11,choque,sucre,imprudencia del conductor,1h,0fa
sabado_domingo,h12_h17,choque,el sagrario,negligencia del conductor,1h,0fa
sabado_domingo,h00_h05,choque,sucre,conducir en estado de embriaguez,0h,0fa
lunes_martes_miercoles,h12_h17,roce,sucre,negligencia del conductor,1h,0fa
lunes_martes_miercoles,h18_h23,estrellamiento,carigan,fallas mecanicas no previsibles,0h,0fa
lunes_martes_miercoles,h00_h05,perdida de carril_pista,san sebastian,negligencia del conductor,0h,0fa
lunes_martes_miercoles,h12_h17,roce,carigan,negligencia del conductor,0h,0fa
jueves_viernes,h12_h17,choque,el sagrario,no mantener la distancia reglamentaria,0h,0fa
jueves_viernes,h00_h05,estrellamiento,san sebastian,conducir en estado de embriaguez,0h,0fa
jueves_viernes,h12_h17,roce,el sagrario,imprudencia del conductor,0h,0fa
jueves_viernes,h00_h05,choque,el valle,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h00_h05,choque,el sagrario,imprudencia del conductor,1h,0fa
sabado_domingo,h00_h05,choque,sucre,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h18_h23,atropello,el sagrario,imprudencia del peaton,1h,0fa
lunes_martes_miercoles,h12_h17,estrellamiento,san sebastian,imprudencia del conductor,0h,0fa
jueves_viernes,h00_h05,estrellamiento,carigan,imprudencia del conductor,0h,0fa
jueves_viernes,h06_h11,choque,el sagrario,imprudencia del conductor,1h,0fa
jueves_viernes,h00_h05,estrellamiento,san sebastian,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h06_h11,roce,punzara,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h18_h23,choque,el sagrario,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h12_h17,choque,el sagrario,inobservancia de leyes de transito,0h,0fa
lunes_martes_miercoles,h06_h11,choque,el sagrario,no respetar las senales de transito,3h,0fa
jueves_viernes,h06_h11,estrellamiento,punzara,imprudencia del conductor,0h,0fa
jueves_viernes,h00_h05,choque,el sagrario,imprudencia del conductor,0h,0fa
jueves_viernes,h00_h05,perdida de carril_pista,el sagrario,imprudencia del conductor,1h,0fa
jueves_viernes,h06_h11,roce,san sebastian,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h12_h17,caida de pasajero,el sagrario,inobservancia de leyes de transito,1h,0fa
sabado_domingo,h00_h05,choque,sucre,no respetar las senales de transito,1h,0fa
sabado_domingo,h00_h05,choque,el sagrario,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h12_h17,roce,el sagrario,inobservancia de leyes de transito,0h,0fa
sabado_domingo,h06_h11,estrellamiento,punzara,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h18_h23,roce,sucre,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h12_h17,choque,el valle,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h06_h11,estrellamiento,el sagrario,conducir en estado de embriaguez,0h,0fa
lunes_martes_miercoles,h12_h17,choque,el sagrario,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h12_h17,choque,el sagrario,imprudencia del conductor,0h,0fa
jueves_viernes,h00_h05,estrellamiento,el valle,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h06_h11,choque,el valle,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h00_h05,estrellamiento,sucre,fallas mecanicas no previsibles,0h,0fa
