dia,hora,tipologia,parroquia_urbana,causas,nro_heridos,nro_fallecidos
viernes,h11,estrellamiento,el valle,conducir en estado de embriaguez,1h,0fa
martes,h17,choque lateral perpendicular,punzara,conducir en estado de embriaguez,1h,0fa
martes,h12,choque por alcance,sucre,no mantener la distancia reglamentaria,0h,0fa
viernes,h10,atropello,sucre,imprudencia del peaton,1h,0fa
sabado,h06,choque lateral angular,sucre,conducir en estado de embriaguez,0h,0fa
domingo,h10,choque por alcance,sucre,no mantener la distancia reglamentaria,0h,0fa
domingo,h15,estrellamiento,san sebastian,conducir en exceso de velocidad,1h,0fa
domingo,h22,estrellamiento,sucre,conducir en exceso de velocidad,0h,0fa
lunes,h02,estrellamiento,san sebastian,conducir en exceso de velocidad,1h,0fa
martes,h14,choque lateral perpendicular,san sebastian,no respetar las senales de transito,0h,0fa
jueves,h23,estrellamiento,sucre,conducir en exceso de velocidad,1h,0fa
viernes,h17,choque lateral angular,sucre,condiciones climaticas desfavorables,0h,0fa
sabado,h20,choque lateral angular,sucre,conducir en estado de embriaguez,0h,0fa
domingo,h04,choque lateral angular,carigan,no respetar las senales de transito,0h,0fa
lunes,h16,roce negativo,sucre,conducir en exceso de velocidad,5h,0fa
viernes,h18,choque lateral angular,sucre,no ceder el derecho de via,0h,0fa
viernes,h16,estrellamiento,sucre,conducir en exceso de velocidad,0h,0fa
sabado,h00,choque lateral perpendicular,el sagrario,impericia del conductor,0h,0fa
domingo,h04,estrellamiento,carigan,imprudencia del conductor,1h,0fa
domingo,h06,choque lateral perpendicular,punzara,conducir en estado de embriaguez,2h,0fa
domingo,h04,choque lateral perpendicular,el valle,no ceder el derecho de via,0h,0fa
domingo,h22,choque por alcance,punzara,impericia del conductor,1h,0fa
miercoles,h03,perdida de carril,punzara,conducir en estado de embriaguez,3h,0fa
sabado,h21,estrellamiento,el valle,conducir en exceso de velocidad,0h,0fa
domingo,h07,choque lateral angular,san sebastian,imprudencia del conductor,1h,0fa
martes,h06,choque lateral perpendicular,el sagrario,conducir en exceso de velocidad,0h,0fa
miercoles,h21,choque lateral perpendicular,el sagrario,conducir en exceso de velocidad,1h,0fa
miercoles,h15,choque lateral perpendicular,el sagrario,imprudencia del conductor,1h,0fa
sabado,h04,choque lateral perpendicular,el sagrario,conducir en estado de embriaguez,0h,0fa
jueves,h16,perdida de pista,sucre,fallas mecanicas no previsibles,2h,0fa
lunes,h13,choque lateral perpendicular,san sebastian,imprudencia del conductor,2h,0fa
lunes,h22,choque lateral perpendicular,san sebastian,conducir en estado de embriaguez,0h,0fa
martes,h05,choque lateral perpendicular,san sebastian,imprudencia del conductor,0h,0fa
martes,h19,choque lateral angular,sucre,imprudencia del conductor,0h,0fa
lunes,h21,estrellamiento,punzara,conducir en estado de embriaguez,1h,0fa
domingo,h16,estrellamiento,punzara,conducir en estado de embriaguez,2h,0fa
viernes,h01,choque frontal excentrico,carigan,imprudencia del conductor,0h,1fa
jueves,h22,estrellamiento,el valle,conducir en exceso de velocidad,0h,0fa
domingo,h04,estrellamiento,sucre,conducir en exceso de velocidad,0h,0fa
sabado,h16,estrellamiento,carigan,imprudencia del conductor,1h,0fa
viernes,h06,choque lateral angular,sucre,imprudencia del conductor,1h,0fa
miercoles,h10,perdida de carril,el valle,condiciones climaticas desfavorables,1h,0fa
miercoles,h19,perdida de pista,sucre,conducir en estado de embriaguez,0h,0fa
viernes,h01,estrellamiento,el valle,imprudencia del conductor,0h,0fa
domingo,h02,estrellamiento,sucre,conducir en estado de embriaguez,1h,0fa
domingo,h02,estrellamiento,el sagrario,conducir en exceso de velocidad,0h,0fa
domingo,h20,choque lateral angular,san sebastian,conducir en estado de embriaguez,1h,0fa
