dia,hora,tipologia,parroquia_urbana,causas,nro_heridos,nro_fallecidos
jueves_viernes,h08_h11,estrellamiento,el valle,conducir en estado de embriaguez,1h,0fa
lunes_martes_miercoles,h16_h19,choque,punzara,conducir en estado de embriaguez,1h,0fa
lunes_martes_miercoles,h12_h15,choque,sucre,no mantener la distancia reglamentaria,0h,0fa
jueves_viernes,h08_h11,atropello,sucre,imprudencia del peaton,1h,0fa
sabado_domingo,h04_h07,choque,sucre,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h08_h11,choque,sucre,no mantener la distancia reglamentaria,0h,0fa
sabado_domingo,h12_h15,estrellamiento,san sebastian,conducir en exceso de velocidad,1h,0fa
sabado_domingo,h20_h23,estrellamiento,sucre,conducir en exceso de velocidad,0h,0fa
lunes_martes_miercoles,h00_h03,estrellamiento,san sebastian,conducir en exceso de velocidad,1h,0fa
lunes_martes_miercoles,h12_h15,choque,san sebastian,no respetar las senales de transito,0h,0fa
jueves_viernes,h20_h23,estrellamiento,sucre,conducir en exceso de velocidad,1h,0fa
jueves_viernes,h16_h19,choque,sucre,condiciones climaticas desfavorables,0h,0fa
sabado_domingo,h20_h23,choque,sucre,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h04_h07,choque,carigan,no respetar las senales de transito,0h,0fa
lunes_martes_miercoles,h16_h19,encunetamiento,sucre,conducir en exceso de velocidad,5h,0fa
jueves_viernes,h16_h19,choque,sucre,no ceder el derecho de via,0h,0fa
jueves_viernes,h16_h19,estrellamiento,sucre,conducir en exceso de velocidad,0h,0fa
sabado_domingo,h00_h03,choque,el sagrario,impericia del conductor,0h,0fa
sabado_domingo,h04_h07,estrellamiento,carigan,imprudencia del conductor,1h,0fa
sabado_domingo,h04_h07,choque,punzara,conducir en estado de embriaguez,2h,0fa
sabado_domingo,h04_h07,choque,el valle,no ceder el derecho de via,0h,0fa
sabado_domingo,h20_h23,choque,punzara,impericia del conductor,1h,0fa
lunes_martes_miercoles,h00_h03,perdida de carril_pista,punzara,conducir en estado de embriaguez,3h,0fa
sabado_domingo,h20_h23,estrellamiento,el valle,conducir en exceso de velocidad,0h,0fa
sabado_domingo,h04_h07,choque,san sebastian,imprudencia del conductor,1h,0fa
