fecha,hora,latitud,longitud,tipologia,direccion,zona,parroquia_urbana,causas,nro_heridos,nro_fallecidos
09-05,19:09,-4.0076341,-79.2073291,choque por alcance,argentina y brasil,urbana,punzara,no mantener la distancia reglamentaria,0,0
09-07,16:55,-4.0231705,-79.2002978,atropello,eduardo kingman y angel belisario moreno,urbana,san sebastian,imprudencia del peaton,1,0
09-07,13:30,-4.0034537,-79.2298082,choque lateral angular,carlos arrobo carrion y eduardo de evia,urbana,sucre,imprudencia del conductor,0,0
09-08,19:24,-4.0025413,-79.2043561,atropello,universtaria y lourdes,urbana,san sebastian,imprudencia del conductor,1,0
09-08,16:05,-3.7435938,-79.2672863,estrellamiento,via loja-cuenca,rural,n/n,imprudencia del conductor,4,1
09-09,12:07,-3.9928744,-79.204385,choque por alcance,18 de noviembre entre quito y jose felix de valdivieso,urbana,el sagrario,no mantener la distancia reglamentaria,0,0
09-10,15:45,-4.0132902,-79.2415786,choque lateral perpendicular,san agustin y marin de porres,urbana,sucre,no ceder el derecho de via,2,0
09-11,15:15,-3.981732,-79.246241,choque frontal excentrico,via loja - catamayo,rural,sucre,imprudencia del conductor,3,1
09-14,11:38,-4.021817,-79.200662,perdida de carril,eduardo kingman y angel b valarezo,urbana,san sebastian,conducir en exceso de velocidad,0,0
09-15,03:15,-4.0032537,-79.2074545,estrellamiento,pio jaramillo alvarado y espiritu santo correa,urbana,el sagrario,conducir en exceso de velocidad,0,0
09-15,05:10,-4.009959,-79.210584,estrellamiento,guatemala y barbados,urbana,punzara,conducir en estado de embriaguez,0,0
09-15,16:06,-3.9805439,-79.2029403,choque por alcance,nueva loja entre guayaquil y salinasbarrio ciudadela del maestro,urbana,el valle,conducir en estado de embriaguez,0,0
09-15,01:10,-4.0165579,-79.2053148,estrellamiento,manuel agustin aguirre y manuel zambrano,urbana,punzara,conducir en estado de embriaguez,0,0
09-15,08:35,-4.003729,-79.202609,choque lateral angular,sucre y catacocha,urbana,san sebastian,imprudencia del conductor,1,0
09-13,11:10,-4.0105572,-79.2072686,choque por alcance,argentina entre chile y bolivia,urbana,punzara,no mantener la distancia reglamentaria,0,0
09-16,08:05,-4.326121,-79.2295,choque lateral angular,via quinara masanamaca,rural,n/n,conducir en exceso de velocidad,3,0
09-17,13:30,-3.9925484,-79.206676,choque frontal excentrico,manuel monteros y alfredo mora reyes,urbana,sucre,imprudencia del conductor,3,0
09-19,04:35,-3.9786597,-79.2044222,choque lateral perpendicular,bernardo valdivieso y quito,urbana,el sagrario,conducir en estado de embriaguez,5,0
09-19,11:55,-3.9829243,-79.2039103,choque lateral perpendicular,machala y riobamba,urbana,sucre,conducir en exceso de velocidad,1,0
09-19,22:14,-3.9843346,-79.1977657,perdida de carril,jose coronel illescas,urbana,el valle,conducir en exceso de velocidad,0,0
09-19,22:51,-4.0014913,-79.2046946,choque lateral angular,manuel agustin aguirre y mercadillo,urbana,sucre,no ceder el derecho de via,0,0
09-20,00:14,-4.0013782,-79.1998573,choque lateral angular,olmedo y mercadillo,urbana,san sebastian,no ceder el derecho de via,0,0
09-20,18:40,-3.991626,-79.2036269,choque lateral perpendicular,sucre y juan de salinas,urbana,el sagrario,no respetar las senales de transito,3,0
09-21,10:40,-3.9798581,-79.2113786,choque por alcance,isidro ayora y salta,urbana,sucre,no mantener la distancia reglamentaria,2,0
09-21,01:50,-3.998104,-79.200093,choque lateral angular,olmedo y rocafuerte,urbana,san sebastian,no ceder el derecho de via,0,0
09-21,00:00,-4.0035524,-79.1933648,estrellamiento,rio maranon y rio jubones,urbana,san sebastian,conducir en estado de embriaguez,0,0
09-20,22:44,-4.003372,-79.1986344,estrellamiento,juan jose pena y catacocha,urbana,san sebastian,imprudencia del conductor,0,0
09-21,01:10,-3.989386,-79.203665,choque lateral angular,emiliano ortega y universitaria,urbana,el sagrario,no ceder el derecho de via,1,0
09-21,14:40,-3.9501,-79.2687,choque frontal excentrico,via loja ctamayo 140m aproximadamente antes de llegar a la y de la entrada a chuquiribamba,rural,n/n,negligencia del conductor,1,1
09-22,13:48,-3.9720843,-79.2058943,choque lateral angular,baquerizo moreno y velasco ibarra,urbana,el valle,imprudencia del conductor,0,0
09-22,19:39,-4.086612,-79.209133,estrellamiento,via loja malacatos 800m antes de llegar al parque podocarpus,rural,n/n,negligencia del conductor,1,1
09-24,09:00,-3.9720843,-79.2058943,choque lateral angular,benjamin carrion y herman cortez,urbana,punzara,imprudencia del conductor,0,0
09-24,23:14,-3.7077107,-79.2723488,estrellamiento,barrio ramos via panamericana,urbana,n/n,conducir en exceso de velocidad,0,0
09-25,21:24,-3.9627675,-7932144938,choque lateral angular,8 de diciembre y santiago,urbana,carigan,imprudencia del conductor,1,0
09-26,04:20,-3.995097,-79.195808,estrellamiento,illiniza y corazon,urbana,el sagrario,conducir en exceso de velocidad,0,0
09-26,22:04,-3.9817928,-79.215575,perdida de carril,asuncion y potosi,urbana,sucre,conducir en exceso de velocidad,0,0
09-27,21:39,-3.977349,-79.205,rozamiento,sin nombre y 8 de diciembre,urbana,sucre,imprudencia del conductor,0,0
09-28,03:00,-3.9808714,-79.2068494,perdida de carril,manuel carrion pinzano,urbana,sucre,conducir en exceso de velocidad,0,0
09-28,06:25,-3.990461,-79.2051397,choque lateral angular,gran colombia y cuxibamba,urbana,sucre,no respetar las senales de transito,3,0
09-29,00:01,-4.0002526,-79.2009587,choque lateral perpendicular,bernardo valdivieso y azuay,urbana,san sebastian,conducir en estado de embriaguez,1,0
09-29,02:15,-4.019247,-79.2288458,perdida de carril,angel felicisimo rojas y eugenio espejo,urbana,sucre,conducir en exceso de velocidad,0,0
09-30,15:00,-4.0046785,-79.2043306,choque lateral angular,manuel austin aguirre y jose picoita,urbana,el sagrario,no ceder el derecho de via,0,0
10-01,14:13,-4.0122708,-79.2045298,choque lateral perpendicular,pio jaramillo alvarado y manuel benjamin carrion,urbana,punzara,no ceder el derecho de via,0,0
10-02,09:00,-4.9984314,-79.2050775,atropello,manuel agustin aguirre y rocafuerte,urbana,sucre,no respetar las senales de transito,1,0
10-02,09:33,-4.1474298,-79.2076542,atropello,barrio rumishitana via loja malacatos,rural,n/n,conducir en exceso de velocidad,1,0
10-02,12:25,-3.9814362,-79.2044642,perdida de carril,8 de diciembre y guayaquil,urbana,el valle,conducir en exceso de velocidad,1,1
10-04,09:25,-4.0078765,-79.2086607,choque lateral perpendicular,brasil y colombia,urbana,punzara,no ceder el derecho de via,0,0
10-05,18:10,-3.998459,-79.2116778,choque lateral angular,eugenio espejo y quinara,urbana,sucre,no ceder el derecho de via,1,0
10-04,10:35,-3.9852974,-79.1968217,choque lateral angular,jose coronel illescas y paris,urbana,el valle,no ceder el derecho de via,1,0
10-05,04:15,-3.9982735,-79.2035026,estrellamiento,rocafuerte entre sucre y 18 de noviembre,urbana,el sagrario,imprudencia del peaton,0,0
10-04,11:45,-3.7091875,-79.2663813,atropello,via loja saraguro,urbana,n/n,imprudencia del peaton,1,0
10-07,12:55,-3.9802672,-79.2043718,choque lateral angular,8 de diciembre,urbana,sucre,no ceder el derecho de via,1,0
10-07,14:27,-3.9880647,-79.2101876,estrellamiento,manuel carrion pinzano y pedro falconi,urbana,sucre,conducir en estado de embriaguez,1,0
10-08,05:50,-4.001592,-79.205592,choque lateral perpendicular,lauro guerrero y mercadillo,urbana,sucre,no ceder el derecho de via,0,0
10-08,18:28,-3.9953834,-79.204592,choque por alcance,18 de noviembre y colon,urbana,el sagrario,no mantener la distancia reglamentaria,0,0
10-10,03:47,-4.0050416,-79.2061604,estrellamiento,pio jaramillo alvarado entre jose picoita y jose maria pena,urbana,punzara,conducir en estado de embriaguez,1,0
10-12,10:25,-4.0550653,-79.1959132,choque por alcance,exodo de yangana y sn,urbana,san sebastian,no mantener la distancia reglamentaria,1,0
10-10,20:39,-4.2632367,-79.2242998,atipico,barrio huilcos eterna juventud y hatillo,rural,n/n,conducir en exceso de velocidad,0,0
10-12,16:35,-3.9844599,-79.2059219,choque por alcance,cuxibamba entre ibarra y latacunga,urbana,sucre,no mantener la distancia reglamentaria,0,0
10-11,22:04,-3.9920841,-79.2099975,estrellamiento,manuel carrion pinzano entre carlos erreis y adolfo valarezo,urbana,sucre,conducir en estado de embriaguez,0,0
10-12,23:44,-4.001468,-79.2044725,choque lateral perpendicular,universitaria y mercadillo,urbana,san sebastian,conducir en estado de embriaguez,0,0
10-15,13:20,-4.0455315,-79.1969287,perdida de carril,exodo de yangana,urbana,san sebastian,conducir en exceso de velocidad,0,0
10-16,17:17,-4.0258875,-79.2030397,choque lateral angular,pio jaramillo alvarado y thomas alba edison,urbana,punzara,no ceder el derecho de via,0,0
10-16,23:34,-3.987779,-79.192044,choque frontal excentrico,via loja zamora,rural,el valle,invadir carril de circulacion,0,0
