fecha,dia,hora,latitud,longitud,tipologia,direccion,zona,parroquia_urbana,causas,gravedad,nro_heridos,nro_fallecidos,vehiculos_retenidos,senalizacion_existente
11-14,sabado,19:04,-4.0047583,-79.2044586,choque lateral angular,manuel agustin aguirre y jose picoita,urbana,punzara,imprudencia del conductor,leve,0,0,2,ninguna
11-17,martes,20:29,-4.0140826,-79.2037167,choque lateral angular,manuel zambrano y jhon f kenedith,urbana,punzara,imprudencia del conductor,grave,3,0,2,ninguna
11-27,viernes,11:20,-4.0025952,-79.2045933,choque lateral perpendicular,manuel agustin aguirre y maximiliano,urbana,punzara,no respetar las senales de transito,grave,2,0,2,senalizacion horizontal y vertical
11-28,sabado,23:48,-3.9785647,-79.2258417,atropello,condamine,urbana,punzara,imprudencia del peaton,grave,1,0,1,ninguna
12-01,martes,18:30,-4.0177481,-79.2037056,choque lateral angular,pio jaramillo alvarado,urbana,punzara,imprudencia del conductor,leve,0,0,2,senalizacion horizontal y vertical
12-04,viernes,07:45,-4.0141251,-79.2041613,choque lateral angular,pio jaramillo alvarado y john f kennedy,urbana,punzara,conducir en exceso de velocidad,grave,3,0,2,senalizacion horizontal y vertical
12-05,sabado,14:40,-4.003788,-79.204499,choque lateral angular,manuel agustin aguirre y venezuela,urbana,punzara,no respetar las senales de transito,leve,0,0,2,senalizacion horizontal y vertical
12-05,sabado,16:20,-4.0141362,-79.2043258,choque lateral perpendicular,pio jaramillo alvarado y john f kennedy,urbana,punzara,imprudencia del conductor,grave,1,0,2,senalizacion horizontal y vertical
12-07,lunes,19:54,-4.0191922,-79.22899,choque lateral perpendicular,angel felicisimo rojas y eugenio espejo,urbana,punzara,conducir en estado de embriaguez,leve,0,0,2,ninguna
12-13,domingo,17:50,-4.0096349,-79.2177732,atropello,eugenio espejo y huancilca,urbana,punzara,imprudencia del peaton,grave,1,0,1,ninguna
12-15,martes,03:29,-4.0318254,-79.202572,estrellamiento,pio jaramillo alvarado y la condamine,urbana,punzara,conducir en estado de embriaguez,grave,1,0,2,senalizacion horizontal
12-18,viernes,18:31,-4.019061,-79.213756,choque lateral angular,benjamin carrion y s/n,urbana,punzara,conducir en estado de embriaguez,grave,2,0,2,ninguna
12-20,domingo,14:15,-4.0119889,-79.2177647,choque lateral perpendicular,grecia y noruega,urbana,punzara,imprudencia del conductor,grave,1,0,2,ninguna
12-20,domingo,16:55,-4.0375861,-79.2065925,estrellamiento,angel felicisimo rojas y reinaldo espinoza,urbana,punzara,conducir en exceso de velocidad,grave,3,1,1,ninguna
12-23,miercoles,07:03,-4.015804,-79.210258,choque lateral angular,jose de san martin y jose artigas,urbana,punzara,imprudencia del conductor,grave,1,0,2,ninguna
12-23,miercoles,20:44,-4.0163511,-79.2163812,choque lateral angular,de los paltas y dinamarca,urbana,punzara,imprudencia del conductor,grave,1,0,2,ninguna
12-24,jueves,20:29,-4.0180512,-79.210419,estrellamiento,benjamin carrion y eloy alfaro,urbana,punzara,conducir en estado de embriaguez,grave,1,0,3,ninguna
12-26,sabado,1900-01-01t00:04,-4.03272,-79.199751,estrellamiento,reinaldo espinoza y exodo de yangana,urbana,punzara,conducir en estado de embriaguez,grave,1,0,1,ninguna
12-31,jueves,08:15,-4.03419,-79.2110022,perdida de carril,angel felicisimo rojas,urbana,punzara,conducir en exceso de velocidad,grave,1,0,1,ninguna
