dia,hora,tipologia,parroquia_urbana,causas,nro_heridos,nro_fallecidos
sabado,h04,roce negativo,sucre,imprudencia del conductor,1,0
sabado,h12,choque lateral perpendicular,el sagrario,imprudencia del conductor,0,0
lunes,h06,estrellamiento,sucre,imprudencia del conductor,0,0
lunes,h12,roce negativo,punzara,imprudencia del conductor,0,0
lunes,h12,choque lateral perpendicular,el sagrario,imprudencia del conductor,0,0
lunes,h21,choque frontal longitudinal,sucre,fallas mecanicas no previsibles,1,0
jueves,h12,colision,el sagrario,imprudencia del conductor,0,0
jueves,h22,estrellamiento,san sebastian,imprudencia del conductor,0,0
viernes,h21,choque por alcance,punzara,imprudencia del conductor,2,0
viernes,h10,estrellamiento,el sagrario,negligencia del conductor,0,0
viernes,h18,estrellamiento,punzara,conducir en estado de embriaguez,0,0
sabado,h09,choque lateral perpendicular,el sagrario,conducir en estado de embriaguez,0,0
lunes,h15,choque por alcance,sucre,no mantener la distancia reglamentaria,0,0
lunes,h20,estrellamiento,sucre,inobservancia de leyes de transito,0,0
lunes,h03,choque lateral angular,punzara,imprudencia del conductor,0,0
miercoles,h01,choque frontal excentrico,carigan,imprudencia del conductor,2,0
viernes,h14,choque lateral perpendicular,punzara,no ceder el derecho de via,1,0
sabado,h12,choque lateral angular,punzara,conducir en estado de embriaguez,2,0
sabado,h02,choque lateral perpendicular,san sebastian,inobservancia de leyes de transito,0,0
domingo,h09,choque lateral perpendicular,san sebastian,inobservancia de leyes de transito,0,0
domingo,h07,estrellamiento,sucre,conducir en estado de embriaguez,0,0
lunes,h20,perdida de carril,punzara,fallas mecanicas no previsibles,1,0
martes,h05,choque lateral angular,sucre,cambio brusco e indebido de carril,1,0
martes,h21,estrellamiento,sucre,inobservancia de leyes de transito,0,0
miercoles,h17,choque por alcance,san sebastian,imprudencia del conductor,0,0
miercoles,h18,choque lateral perpendicular,el sagrario,no respetar las senales de transito,0,0
jueves,h15,choque por alcance,carigan,no mantener la distancia reglamentaria,0,0
viernes,h09,estrellamiento,el sagrario,conducir en estado de embriaguez,0,0
sabado,h01,estrellamiento,carigan,conducir en estado de embriaguez,0,0
sabado,h08,choque lateral perpendicular,el sagrario,no ceder el derecho de via,0,0
domingo,h10,choque lateral angular,sucre,conducir en estado de embriaguez,0,0
lunes,h13,atropello,sucre,imprudencia del conductor,0,0
martes,h01,choque lateral angular,san sebastian,no ceder el derecho de via,0,0
miercoles,h04,choque lateral angular,el valle,conducir en estado de embriaguez,0,0
jueves,h18,choque lateral perpendicular,punzara,no ceder el derecho de via,1,0
jueves,h19,choque lateral perpendicular,sucre,conducir en estado de embriaguez,0,0
jueves,h02,choque lateral perpendicular,el sagrario,conducir en estado de embriaguez,2,0
jueves,h03,choque por alcance,el sagrario,conducir en estado de embriaguez,0,0
viernes,h10,estrellamiento,san sebastian,inobservancia de leyes de transito,0,0
sabado,h09,choque lateral perpendicular,sucre,conducir en estado de embriaguez,2,0
sabado,h22,choque lateral perpendicular,el sagrario,imprudencia del conductor,0,0
domingo,h22,atropello,punzara,imprudencia del peaton,1,0
domingo,h07,choque lateral perpendicular,el sagrario,conducir en estado de embriaguez,0,0
domingo,h01,perdida de carril,punzara,imprudencia del conductor,4,0
lunes,h01,choque lateral angular,carigan,conducir en estado de embriaguez,1,0
lunes,h05,choque lateral perpendicular,el sagrario,conducir en estado de embriaguez,2,0
jueves,h05,estrellamiento,san sebastian,imprudencia del conductor,0,0
jueves,h16,colision,sucre,imprudencia del conductor,0,0
viernes,h00,perdida de pista,sucre,conducir en exceso de velocidad,0,0
sabado,h10,estrellamiento,sucre,conducir en estado de embriaguez,0,0
sabado,h00,choque por alcance,sucre,conducir en estado de embriaguez,0,0
domingo,h11,choque lateral perpendicular,el sagrario,no respetar las senales de transito,0,0
domingo,h09,choque lateral perpendicular,san sebastian,conducir en estado de embriaguez,1,0
domingo,h04,choque lateral angular,el sagrario,conducir en estado de embriaguez,1,0
lunes,h22,choque lateral perpendicular,san sebastian,conducir en estado de embriaguez,0,0
lunes,h01,choque lateral angular,carigan,conducir en estado de embriaguez,0,0
lunes,h04,choque lateral perpendicular,el sagrario,conducir en estado de embriaguez,1,0
martes,h04,estrellamiento,sucre,conducir en estado de embriaguez,0,0
martes,h06,estrellamiento,punzara,imprudencia del conductor,0,0
martes,h06,roce positivo,sucre,imprudencia del conductor,2,0
martes,h02,choque lateral angular,carigan,imprudencia del conductor,0,0
martes,h03,estrellamiento,punzara,conducir en estado de embriaguez,0,0
miercoles,h13,choque lateral angular,el sagrario,no ceder el derecho de via,2,0
jueves,h19,estrellamiento,carigan,conducir en exceso de velocidad,1,0
sabado,h01,choque lateral perpendicular,el sagrario,no ceder el derecho de via,0,0
domingo,h02,choque lateral perpendicular,el sagrario,conducir en estado de embriaguez,0,0
lunes,h07,choque lateral angular,sucre,no ceder el derecho de via,0,0
lunes,h20,choque frontal excentrico,sucre,cambio brusco e indebido de carril,3,0
miercoles,h12,atropello,carigan,imprudencia del conductor,2,0
jueves,h11,atropello,el sagrario,imprudencia del conductor,1,0
viernes,h10,choque lateral perpendicular,el sagrario,no ceder el derecho de via,2,0
viernes,h18,choque lateral perpendicular,el valle,no ceder el derecho de via,0,0
sabado,h22,choque lateral perpendicular,punzara,conducir en estado de embriaguez,1,0
sabado,h01,choque lateral angular,carigan,conducir en estado de embriaguez,0,0
sabado,h12,perdida de carril,san sebastian,fallas mecanicas no previsibles,2,0
sabado,h21,choque lateral perpendicular,punzara,no ceder el derecho de via,2,0
domingo,h06,perdida de carril,carigan,fallas mecanicas no previsibles,0,0
domingo,h14,choque lateral angular,el valle,no respetar las senales de transito,0,0
domingo,h13,choque lateral angular,san sebastian,no respetar las senales de transito,0,0
lunes,h16,choque lateral angular,punzara,no ceder el derecho de via,1,0
martes,h10,colision,punzara,conducir en estado de embriaguez,1,0
miercoles,h12,atipico,san sebastian,imprudencia del conductor,0,0
jueves,h09,choque lateral perpendicular,el valle,cambio brusco e indebido de carril,1,0
jueves,h22,choque lateral perpendicular,san sebastian,no ceder el derecho de via,2,0
jueves,h22,estrellamiento,el valle,conducir en estado de embriaguez,4,0
viernes,h23,choque lateral perpendicular,sucre,invadir carril de circulacion,0,0
sabado,h01,choque lateral angular,el sagrario,imprudencia del conductor,0,0
sabado,h14,choque lateral perpendicular,punzara,no ceder el derecho de via,0,0
sabado,h21,choque por alcance,el sagrario,conducir en estado de embriaguez,1,0
domingo,h18,perdida de carril,punzara,conducir en exceso de velocidad,0,0
domingo,h00,estrellamiento,carigan,conducir en estado de embriaguez,0,0
lunes,h09,choque lateral perpendicular,sucre,no ceder el derecho de via,0,0
martes,h15,atropello,sucre,conducir en exceso de velocidad,1,0
miercoles,h03,estrellamiento,san sebastian,conducir en exceso de velocidad,0,0
viernes,h10,choque lateral perpendicular,san sebastian,conducir en exceso de velocidad,0,0
viernes,h16,atropello,san sebastian,conducir en exceso de velocidad,1,0
domingo,h04,encunetamiento,carigan,conducir en exceso de velocidad,0,0
domingo,h06,choque frontal excentrico,carigan,conducir en estado de embriaguez,1,0
domingo,h17,atropello,sucre,conducir en estado de embriaguez,1,0
domingo,h19,estrellamiento,carigan,conducir en estado de embriaguez,1,1
viernes,h12,atropello,sucre,imprudencia del peaton,1,0
sabado,h16,choque lateral perpendicular,el sagrario,conducir en exceso de velocidad,1,0
domingo,h06,choque lateral angular,sucre,imprudencia del conductor,0,0
domingo,h04,estrellamiento,sucre,conducir en estado de embriaguez,0,0
domingo,h16,estrellamiento,sucre,fallas mecanicas no previsibles,0,0
lunes,h23,perdida de carril,carigan,conducir en estado de embriaguez,1,0
martes,h09,choque lateral angular,el valle,no ceder el derecho de via,0,0
martes,h19,choque lateral angular,carigan,imprudencia del conductor,0,0
miercoles,h07,choque lateral perpendicular,el sagrario,no ceder el derecho de via,2,0
miercoles,h06,choque lateral perpendicular,el sagrario,no ceder el derecho de via,0,0
viernes,h13,choque lateral angular,el valle,no ceder el derecho de via,0,0
sabado,h02,choque lateral perpendicular,el sagrario,imprudencia del conductor,1,0
sabado,h01,estrellamiento,sucre,conducir en estado de embriaguez,0,0
domingo,h19,choque lateral perpendicular,el sagrario,no ceder el derecho de via,0,0
domingo,h03,estrellamiento,carigan,conducir en exceso de velocidad,1,0
domingo,h05,estrellamiento,el valle,conducir en exceso de velocidad,0,0
domingo,h08,estrellamiento,sucre,conducir en exceso de velocidad,0,0
domingo,h08,choque lateral angular,sucre,cambio brusco e indebido de carril,0,0
