fecha,dia,hora,tipologia,direccion,zona,parroquia_urbana,causas,nro_heridos,nro_fallecidos
03-08,jueves,21:05,choque lateral perpendicular,universitaria y miguel riofrio,urbana,el sagrario,razones desconocidas,0,0
03-10,sabado,06:40,choque lateral perpendicular,san carlos y la cruz,urbana,sucre,razones desconocidas,0,0
03-11,domingo,10:20,estrellamiento,machala y guaranda,urbana,sucre,razones desconocidas,0,0
03-11,domingo,01:30,estrellamiento,montevideo y asuncion,urbana,sucre,razones desconocidas,0,0
03-12,lunes,19:00,estrellamiento,orillas del zamora y guayaquil,urbana,el valle,razones desconocidas,0,0
03-13,martes,06:20,choque por alcance,isidro ayora y diamantina,urbana,sucre,razones desconocidas,3,0
03-13,martes,19:53,atropello,24 de mayo y victor vivar,urbana,el sagrario,razones desconocidas,1,0
03-14,miercoles,07:23,choque lateral angular,bernardo valdivieso y quito,urbana,el sagrario,razones desconocidas,0,0
03-16,viernes,20:55,choque lateral perpendicular,pio jaramillo alvarado y manuel benjamin carrion,urbana,punzara,razones desconocidas,0,0
03-16,viernes,22:12,estrellamiento,18 de noviembre y celica,urbana,san sebastian,razones desconocidas,0,0
03-17,sabado,16:50,atropello,villonaco y virgen de monzerrat,urbana,sucre,razones desconocidas,0,1
03-17,sabado,16:42,choque lateral angular,universitaria y jose antonio eguiguren,urbana,el sagrario,razones desconocidas,1,0
03-18,domingo,02:30,estrellamiento,via antigua a zamora sta. marianita de jesus,urbana,el sagrario,razones desconocidas,0,0
03-18,domingo,13:48,choque lateral perpendicular,manuel carrion pinzano y benjamin pereira,urbana,sucre,razones desconocidas,0,0
03-18,domingo,03:00,atropello,via de segundo orden y virgilio rodas,urbana,sucre,razones desconocidas,1,0
03-20,martes,12:50,atipico,terminal terrestre,urbana,sucre,razones desconocidas,0,0
03-22,jueves,08:45,estrellamiento,nueva loja y machala,urbana,sucre,razones desconocidas,0,0
03-23,viernes,15:00,choque lateral angular,manuel agustin aguirre y chile,urbana,punzara,razones desconocidas,0,0
03-24,sabado,06:00,choque lateral angular,8 de diciembre entre manuel cabrera y beatriz cueva de ayora,urbana,carigan,razones desconocidas,0,0
03-24,sabado,14:42,colision,manuel carrion pinzano y eplicachima,urbana,sucre,razones desconocidas,0,0
03-25,domingo,02:00,choque por alcance,segundo cueva celi entre segundo puertas moreno y prolg de la 24 de mayo,urbana,punzara,razones desconocidas,0,0
03-25,domingo,09:28,choque lateral angular,universitaria y miguel riofrio,urbana,el sagrario,razones desconocidas,0,0
03-25,domingo,17:36,choque lateral perpendicular,angel felicisimo rojas y cuzco,urbana,sucre,razones desconocidas,0,0
