fecha,dia,hora,tipologia,direccion,zona,parroquia_urbana,causas,nro_heridos,nro_fallecidos
09-20,jueves,00:20,choque lateral perpendicular,juan jose pena y lourdes,urbana,el sagrario,razones desconocidas,0,0
09-21,viernes,23:50,perdida de carril,colibri y gaviotas,urbana,el valle,razones desconocidas,0,0
09-22,sabado,13:52,choque lateral perpendicular,24 de mayo y lourdes,urbana,el sagrario,razones desconocidas,2,0
09-23,domingo,08:00,choque lateral angular,angel felicisimo rojas,urbana,sucre,razones desconocidas,0,0
09-23,domingo,21:20,roce negativo,manuel carrion pinzano y tomas rodrigo torres,urbana,sucre,razones desconocidas,0,0
09-23,domingo,21:55,choque lateral angular,8 de diciembre y santiago,urbana,carigan,razones desconocidas,0,0
09-25,martes,01:55,perdida de carril,orillas del zamora y santa rosa,urbana,el valle,razones desconocidas,0,0
09-25,martes,06:12,choque lateral perpendicular,jose artigas y francisco de narino,urbana,punzara,razones desconocidas,0,0
09-26,miercoles,13:05,atropello,cuero y caicedo entre manuel angulo y carlos montufar,urbana,punzara,imprudencia del peaton,1,0
09-27,jueves,20:15,atropello,mayas y juan jose samaniego,urbana,sucre,negligencia del conductor,1,0
09-28,viernes,18:50,choque lateral perpendicular,jose martinez ruiz y sixto duran romero,urbana,san sebastian,condiciones climaticas desfavorables,1,0
09-28,viernes,21:27,estrellamiento,pablo palacios y cesar p. ludena,urbana,carigan,fallas mecanicas no previsibles,0,0
09-29,sabado,19:00,choque lateral perpendicular,universitaria y quito,urbana,el sagrario,imprudencia del conductor,0,0
09-29,sabado,20:00,estrellamiento,olmedo y catacocha,urbana,san sebastian,imprudencia del conductor,0,0
09-30,domingo,20:45,estrellamiento,jacinto de eva entre jorge icasa y enrique gil gilberth,urbana,sucre,imprudencia del conductor,0,0
09-30,domingo,02:34,choque frontal longitudinal,alonso de mercadillo y jose a. palacios,urbana,sucre,conducir en estado de embriaguez,1,0
10-01,lunes,17:28,atropello,manuel carrion pinzano y piura,urbana,sucre,conducir en estado de embriaguez,0,0
10-01,lunes,20:50,choque lateral perpendicular,alonso de mercadillo y ramon pinto,urbana,el sagrario,condiciones climaticas desfavorables,1,0
10-02,martes,12:19,choque lateral angular,8 de diciembre (terminal terrestre),urbana,sucre,no ceder el derecho de via,0,0
10-03,miercoles,12:00,roce negativo,espana y curazao,urbana,punzara,cambio brusco e indebido de carril,0,0
10-03,miercoles,03:09,estrellamiento,universitaria y colon,urbana,el sagrario,no mantener la distancia reglamentaria,0,0
10-05,viernes,16:40,colision,isidro ayora y sin nombre,urbana,sucre,negligencia del conductor,0,0
10-05,viernes,17:28,atropello,cuenca y chone,urbana,el valle,imprudencia del peaton,1,0
10-05,viernes,01:44,estrellamiento,salvador bustamante celi,urbana,el valle,imprudencia del conductor,0,0
10-06,sabado,08:00,choque lateral angular,maximo agustin rodriguez y gonzalez suarez,urbana,san sebastian,conducir en estado de embriaguez,1,0
10-06,sabado,05:07,estrellamiento,orillas del zamora y santa rosa,urbana,el valle,conducir en estado de embriaguez,0,0
10-06,sabado,01:29,choque lateral angular,eugenio espejo entre pakistan y suiza.,urbana,punzara,conducir en estado de embriaguez,0,0
10-07,domingo,14:15,atropello,sucre y catacocha,urbana,san sebastian,imprudencia del peaton,1,0
10-07,domingo,23:30,choque lateral angular,olmedo y rocafuerte,urbana,el sagrario,imprudencia del conductor,0,0
10-08,lunes,03:14,roce negativo,eduardo kingman entre catamayo y amaluza,urbana,san sebastian,imprudencia del conductor,0,0
10-10,miercoles,14:00,choque lateral perpendicular,de los paltas entre hungria y finlandia,urbana,punzara,cambio brusco e indebido de carril,0,0
10-10,miercoles,13:50,estrellamiento,jose coronel y paris,urbana,carigan,imprudencia del conductor,0,0
10-10,miercoles,07:00,choque por alcance,8 de diciembre y s/n,urbana,carigan,conducir en estado de embriaguez,0,0
10-13,sabado,08:00,choque lateral perpendicular,jose maria pena y azuay,urbana,el sagrario,negligencia del conductor,0,0
10-13,sabado,08:23,estrellamiento,gran colombia y machala,urbana,sucre,negligencia del conductor,0,0
10-14,domingo,10:30,choque por alcance,isidro ayora y dr. eduardo mora,urbana,sucre,imprudencia del conductor,1,0
10-14,domingo,15:34,choque lateral perpendicular,manuel agustin aguirre y colon,urbana,el sagrario,negligencia del conductor,1,0
10-14,domingo,03:34,choque lateral angular,eugenio espejo (chonta cruz),urbana,sucre,conducir en estado de embriaguez,0,0
10-15,lunes,12:40,roce positivo,eugenio espejo (entrada a menfis alto),urbana,sucre,negligencia del conductor,1,0
10-16,martes,19:55,estrellamiento,pablo palacios y dr. arturo armijos ayala,urbana,carigan,fallas mecanicas no previsibles,0,0
10-16,martes,05:02,perdida de carril,eduardo kingman entre gonzanama y saraguro,urbana,san sebastian,negligencia del conductor,0,0
10-17,miercoles,12:20,roce negativo,dr. arturo armijos ayala y cesar ludena,urbana,carigan,negligencia del conductor,0,0
10-18,jueves,12:15,choque por alcance,bolivar y jose felix de valdivieso,urbana,el sagrario,no mantener la distancia reglamentaria,0,0
10-19,viernes,05:40,estrellamiento,catamayo y romerillos,urbana,san sebastian,conducir en estado de embriaguez,0,0
10-19,viernes,13:06,roce negativo,colon entre bolivar y sucre.,urbana,el sagrario,imprudencia del conductor,0,0
10-19,viernes,00:14,choque por alcance,salvador bustamante celi y isidro ayora,urbana,el valle,conducir en estado de embriaguez,0,0
10-20,sabado,01:24,estrellamiento,velazco ibarra y jose maria urbina,urbana,sucre,razones desconocidas,0,0
10-20,sabado,03:44,choque lateral perpendicular,orillas del zamora y juan de salinas,urbana,el sagrario,imprudencia del conductor,1,0
10-20,sabado,03:49,choque frontal excentrico,los paltas y otavalos,urbana,sucre,imprudencia del conductor,0,0
10-21,domingo,17:40,estrellamiento,gran colombia y pujili,urbana,sucre,razones desconocidas,0,0
10-22,lunes,20:25,atropello,lauro guerrero y colon,urbana,el sagrario,imprudencia del peaton,1,0
10-24,miercoles,14:10,estrellamiento,lourdes y bolivar,urbana,san sebastian,imprudencia del conductor,0,0
10-25,jueves,03:09,estrellamiento,chuquiribamba barrio motupe,urbana,carigan,imprudencia del conductor,0,0
10-26,viernes,07:40,choque lateral perpendicular,universitaria y imbabura,urbana,el sagrario,imprudencia del conductor,1,0
10-26,viernes,03:29,estrellamiento,romerillos y arupos,urbana,san sebastian,conducir en estado de embriaguez,0,0
10-27,sabado,08:05,roce positivo,eugenio espejo y aztecas,urbana,punzara,conducir en estado de embriaguez,0,0
10-27,sabado,18:30,choque lateral perpendicular,bolivar e imbabura,urbana,el sagrario,imprudencia del conductor,0,0
10-28,domingo,08:43,caida de pasajero,rio ucayali y rio aguarico,urbana,san sebastian,razones desconocidas,2,0
10-28,domingo,22:00,atropello,eugenio espejo y punaes,urbana,sucre,razones desconocidas,1,0
10-31,miercoles,12:58,choque lateral angular,mercadillo entre juan jose pena y 24 de mayo,urbana,el sagrario,desatento a la conduccion,0,0
10-31,miercoles,11:48,choque lateral perpendicular,lauro guerrero y 10 de agosto,urbana,el sagrario,no respetar las senales de transito,3,0
10-31,miercoles,04:04,perdida de carril,manuel carrion pinzano y manaos,urbana,sucre,razones desconocidas,0,0
10-31,miercoles,04:04,perdida de carril,manuel carrion pinzano y manaos,urbana,sucre,razones desconocidas,0,0
11-01,jueves,09:35,estrellamiento,los paltas y benjamin carrion (frente a la ant),urbana,punzara,imprudencia del conductor,0,0
11-01,jueves,01:44,choque lateral perpendicular,lourdes y macara,urbana,el sagrario,imprudencia del conductor,0,0
11-02,viernes,05:07,perdida de carril,manuel agustin aguirre y juan de salinas,urbana,el sagrario,imprudencia del conductor,1,0
11-02,viernes,08:55,roce negativo,eduardo kingman y catamayo,urbana,san sebastian,conducir en estado de embriaguez,0,0
11-03,sabado,14:46,caida de pasajero,nueva loja y emiliano ortega,urbana,el sagrario,imprudencia del pasajero,1,0
11-03,sabado,00:51,choque lateral angular,manuel carrion pinzano y jose maria riofrio,urbana,sucre,no respetar las senales de transito,1,0
11-03,sabado,05:06,choque frontal excentrico,juan maria riofrio y jose maria riofrio,urbana,el sagrario,conducir en estado de embriaguez,0,0
11-03,sabado,17:35,roce negativo,jose maria pena y tnt. maximiliano rodriguez,urbana,el sagrario,desatento a la conduccion,0,0
11-03,sabado,08:05,estrellamiento,reinaldo espinoza y james watt,urbana,punzara,conducir en estado de embriaguez,0,0
11-03,sabado,22:40,volcamiento,angel felicisimo rojas,urbana,sucre,razones desconocidas,1,0
11-03,sabado,22:40,roce negativo,manuel carrion pinzano y rafael riofrio,urbana,sucre,conducir en estado de embriaguez,0,0
11-03,sabado,12:52,choque frontal excentrico,salvador bustamante celi y agustin carrion palacios,urbana,el valle,conducir en estado de embriaguez,0,0
11-04,domingo,08:00,estrellamiento,nicolas garcia entre miguel riofrio y azuay,urbana,el sagrario,conducir en estado de embriaguez,0,0
11-04,domingo,12:40,choque lateral angular,quinara e ines jimenez,urbana,sucre,razones desconocidas,0,0
11-05,lunes,14:58,choque lateral perpendicular,bolivar y juan de salinas,urbana,el sagrario,imprudencia del conductor,0,0
11-05,lunes,16:47,choque lateral perpendicular,orillas del zamora y clodoveo carrion,urbana,el sagrario,imprudencia del conductor,0,0
11-09,viernes,05:14,estrellamiento,ciudadela nueva granada y diego noboa,urbana,el valle,conducir en estado de embriaguez,0,0
11-10,sabado,06:03,choque lateral perpendicular,nueva loja y guayaquil,urbana,el valle,conducir en estado de embriaguez,0,0
11-10,sabado,02:29,estrellamiento,manuel carrion pinzano,urbana,sucre,fallas mecanicas no previsibles,0,0
11-11,domingo,04:59,choque lateral perpendicular,manuel agustin aguirre y rocafuerte,urbana,el sagrario,conducir en estado de embriaguez,0,0
11-11,domingo,00:28,estrellamiento,terminal terrestre reina del cisne y victoriano palacios,urbana,sucre,imprudencia del conductor,0,0
11-13,martes,00:44,estrellamiento,orillas del zamora y santa rosa,urbana,el valle,conducir en estado de embriaguez,0,0
11-14,miercoles,20:35,choque por alcance,via panamericana barrio plateado,urbana,sucre,imprudencia del conductor,0,0
11-14,miercoles,19:48,choque lateral angular,manuel carrion pinzano y eduardo unda,urbana,sucre,imprudencia del conductor,1,0
11-15,jueves,11:48,estrellamiento,ibarra entre emiliano ortega y santo domingo de los colorados,urbana,sucre,imprudencia del conductor,0,0
11-15,jueves,11:01,choque lateral perpendicular,18 de noviembre y jose antonio eguiguren,urbana,el sagrario,imprudencia del conductor,1,0
11-15,jueves,12:00,choque lateral perpendicular,machala e ibarra,urbana,sucre,imprudencia del conductor,0,0
11-18,domingo,09:20,choque lateral perpendicular,18 de noviembre y juan de salinas,urbana,el sagrario,imprudencia del conductor,0,0
11-18,domingo,18:30,choque lateral angular,isidro ayora y asuncion,urbana,sucre,imprudencia del conductor,0,0
11-18,domingo,21:35,choque lateral angular,manuel carrion pinzano y eugenio espejo,urbana,sucre,imprudencia del conductor,0,0
11-18,domingo,04:36,choque lateral angular,barrio consacola y pablo palacios,urbana,sucre,imprudencia del conductor,1,0
11-19,lunes,22:45,atropello,ordalos y canarios barrio el paraiso,urbana,el valle,imprudencia del peaton,1,0
11-20,martes,13:10,perdida de carril,cuxibamba y guaranda,urbana,sucre,imprudencia del conductor,0,0
11-20,martes,16:17,choque lateral perpendicular,manuel agustin aguirre y lourdes,urbana,san sebastian,imprudencia del conductor,0,0
11-20,martes,18:10,colision,eugenio espejo y villonaco,urbana,sucre,imprudencia del conductor,0,0
11-21,miercoles,19:43,choque lateral perpendicular,eugenio espejo y eplicachima,urbana,sucre,imprudencia del conductor,0,0
11-21,miercoles,00:24,choque lateral angular,riobamba y cuxibamba,urbana,sucre,imprudencia del conductor,0,0
11-21,miercoles,01:44,estrellamiento,juan jose samaniego y ramon pinto,urbana,el sagrario,conducir en estado de embriaguez,0,0
11-22,jueves,12:30,choque lateral perpendicular,isidro ayora,urbana,sucre,imprudencia del conductor,0,0
11-22,jueves,13:12,choque lateral perpendicular,bolivar y jose felix de valdivieso,urbana,el sagrario,imprudencia del conductor,0,0
11-22,jueves,03:34,choque lateral perpendicular,teniente maximiliano rodriguez y ramon pinto,urbana,el sagrario,imprudencia del conductor,2,0
11-23,viernes,17:18,atropello,cuxibamba y guaranda,urbana,sucre,imprudencia del peaton,1,0
11-23,viernes,10:03,perdida de carril,los paltas y teniente maximiliano rodriguez,urbana,sucre,razones desconocidas,2,0
11-23,viernes,20:45,choque por alcance,8 de diciembre y beatriz cueva de ayora,urbana,carigan,cambio brusco e indebido de carril,0,0
11-24,sabado,04:24,roce negativo,manuel carrion pinzano y victoriano palacios,urbana,sucre,imprudencia del conductor,1,0
11-24,sabado,12:44,choque lateral perpendicular,18 de noviembre y miguel riofrio,urbana,el sagrario,imprudencia del conductor,0,0
11-26,lunes,06:00,estrellamiento,riobamba entre gran colombia y ambato,urbana,sucre,imprudencia del conductor,0,0
11-26,lunes,12:15,roce negativo,argentina y paraguay,urbana,punzara,imprudencia del conductor,0,0
11-26,lunes,12:10,choque lateral perpendicular,maximiliano rodriguez y jose maria pena,urbana,el sagrario,imprudencia del conductor,0,0
11-26,lunes,21:09,choque frontal longitudinal,manuel carrion pinzano y de los paltas,urbana,sucre,fallas mecanicas no previsibles,1,0
11-29,jueves,12:50,colision,zoilo rodriguez y clodoveo carrion,urbana,el sagrario,imprudencia del conductor,0,0
11-29,jueves,22:20,estrellamiento,lourdes y bolivar,urbana,san sebastian,imprudencia del conductor,0,0
11-30,viernes,21:35,choque por alcance,benjamin carrion y benito juarez,urbana,punzara,imprudencia del conductor,2,0
11-30,viernes,10:10,estrellamiento,juan jose pena entre rocafuerte y miguel riofrio,urbana,el sagrario,negligencia del conductor,0,0
11-30,viernes,18:25,estrellamiento,sargento jose robles y jose maria,urbana,n/n,conducir en estado de embriaguez,0,0
12-01,sabado,09:55,choque lateral perpendicular,alonso de mercadillo y ramon pinto,urbana,el sagrario,conducir en estado de embriaguez,0,0
12-03,lunes,15:25,choque por alcance,gran colombia y tulcan,urbana,sucre,no mantener la distancia reglamentaria,0,0
12-03,lunes,20:50,estrellamiento,isidro ayora y angel felicisimo rojas,urbana,sucre,desatento a la conduccion,0,0
12-03,lunes,03:23,choque lateral angular,cuba y manuel agustin aguirre,urbana,punzara,imprudencia del conductor,0,0
12-05,miercoles,01:54,choque frontal excentrico,8 de diciembre y eduardo palacios,urbana,carigan,imprudencia del conductor,2,0
12-07,viernes,14:58,choque lateral perpendicular,jiron rodriguez soto entre cuero y caicedo,urbana,punzara,no ceder el derecho de via,1,0
12-08,sabado,12:20,choque lateral angular,manuel agustin aguirre y cuba,urbana,punzara,conducir en estado de embriaguez,2,0
12-08,sabado,02:09,choque lateral perpendicular,olmedo y lourdes,urbana,san sebastian,cruce de via sin preferencia,0,0
12-09,domingo,09:40,choque lateral perpendicular,manuel agustin aguirre y lourdes,urbana,san sebastian,cruce de via sin preferencia,0,0
12-09,domingo,12:25,estrellamiento,san cayetano/via parra 2,urbana,sucre,razones desconocidas,0,0
12-09,domingo,08:35,estrellamiento,gran colombia y universitaria,urbana,sucre,razones desconocidas,0,0
12-09,domingo,07:19,estrellamiento,isidro ayora,urbana,sucre,conducir en estado de embriaguez,0,0
12-10,lunes,20:05,perdida de carril,benjamin carrion entre jose palcios y tomas rodriguez torres,urbana,punzara,fallas mecanicas no previsibles,1,0
12-11,martes,05:01,choque lateral angular,manuel carrion pinzano y bolivar bailon,urbana,sucre,cambio brusco e indebido de carril,1,0
12-11,martes,21:20,estrellamiento,bello horizonte y oruro,urbana,sucre,perdida de pista,0,0
12-12,miercoles,17:25,choque por alcance,pio jaramillo alvarado y gobernacion de mainas,urbana,san sebastian,imprudencia del conductor,0,0
12-12,miercoles,18:22,choque lateral perpendicular,lauro guerrero y 10 de agosto,urbana,el sagrario,no respetar las senales de transito,0,0
12-13,jueves,15:40,choque por alcance,8 de dicembre y soria,urbana,carigan,no mantener la distancia reglamentaria,0,0
12-13,jueves,22:25,atipico,lourdes y bolivar,urbana,san sebastian,razones desconocidas,0,0
12-14,viernes,09:00,estrellamiento,universitaria y gran colombia,urbana,el sagrario,conducir en estado de embriaguez,0,0
12-15,sabado,01:54,estrellamiento,8 de diciembre/barrio la banda,urbana,carigan,conducir en estado de embriaguez,0,0
12-15,sabado,08:33,choque lateral perpendicular,orillas del zamora y juan de salinas,urbana,el sagrario,no ceder el derecho de via,0,0
12-16,domingo,10:45,choque lateral angular,isidro ayora y nueva loja,urbana,sucre,conducir en estado de embriaguez,0,0
12-17,lunes,13:30,atropello,barrio bolonia,urbana,sucre,imprudencia del conductor,0,0
12-18,martes,01:39,choque lateral angular,eduardo kingman y acacias,urbana,san sebastian,no ceder el derecho de via,0,0
12-19,miercoles,04:54,choque lateral angular,orillas del zamora y ibarra,urbana,el valle,conducir en estado de embriaguez,0,0
12-20,jueves,18:40,choque lateral perpendicular,argentina y brasil,urbana,punzara,no ceder el derecho de via,1,0
12-20,jueves,19:54,choque lateral perpendicular,jose maria riofrio y victor paz,urbana,sucre,conducir en estado de embriaguez,0,0
12-20,jueves,02:54,choque lateral perpendicular,10 de agosto y juan jose pena,urbana,el sagrario,conducir en estado de embriaguez,2,0
12-20,jueves,03:49,choque por alcance,pio jaramillo alvarado y mercadillo,urbana,el sagrario,conducir en estado de embriaguez,0,0
12-21,viernes,10:40,estrellamiento,angel b. valarezo y ciro alegria.,urbana,san sebastian,perdida de pista,0,0
12-22,sabado,09:20,choque lateral perpendicular,bolivar bailon y manuel vivanco,urbana,sucre,conducir en estado de embriaguez,2,0
12-22,sabado,22:40,choque lateral perpendicular,10 de agosto y emiliano ortega,urbana,el sagrario,imprudencia del conductor,0,0
12-23,domingo,22:10,atropello,benjamin carrion y tomas rodrigo torres,urbana,punzara,imprudencia del peaton,1,0
12-23,domingo,07:20,choque lateral perpendicular,bernardo valdivieso y jose antonio eguiguren,urbana,el sagrario,conducir en estado de embriaguez,0,0
12-23,domingo,01:31,perdida de carril,angel felicisimo rojas y transito amaguana,urbana,punzara,imprudencia del conductor,4,0
12-24,lunes,01:44,choque lateral angular,pablo palacios y cesar polibio ludena,urbana,carigan,conducir en estado de embriaguez,1,0
12-24,lunes,05:07,choque lateral perpendicular,jose maria pena y azuay,urbana,el sagrario,conducir en estado de embriaguez,2,0
12-27,jueves,05:30,estrellamiento,olmedo y gonzalez suarez,urbana,san sebastian,imprudencia del conductor,0,0
12-27,jueves,16:13,colision,isidro ayora y habana,urbana,sucre,imprudencia del conductor,0,0
12-28,viernes,00:54,perdida de pista,eugenio espejo / 100 metros aproximadamente del redondel de chantacruz,urbana,sucre,conducir en exceso de velocidad,0,0
12-29,sabado,10:50,estrellamiento,isidro ayora y 8 de diciembre,urbana,sucre,conducir en estado de embriaguez,0,0
12-29,sabado,00:24,choque por alcance,manuel carrion pinzano y benjamin pereira,urbana,sucre,conducir en estado de embriaguez,0,0
12-30,domingo,11:05,choque lateral perpendicular,lauro guerrero y 10 de agosto,urbana,el sagrario,no respetar las senales de transito,0,0
12-30,domingo,09:11,choque lateral perpendicular,18 de noviembre y celica,urbana,san sebastian,conducir en estado de embriaguez,1,0
12-30,domingo,04:13,choque lateral angular,bolivar y jose antonio eguiguren,urbana,el sagrario,conducir en estado de embriaguez,1,0
12-31,lunes,22:20,choque lateral perpendicular,eduardo kingman/barrio capuli,urbana,san sebastian,conducir en estado de embriaguez,0,0
12-31,lunes,01:29,choque lateral angular,8 de diciembre y belisario moreno,urbana,carigan,conducir en estado de embriaguez,0,0
12-31,lunes,04:59,choque lateral perpendicular,ramon pinto y mercadillo,urbana,el sagrario,conducir en estado de embriaguez,1,0
