fecha,hora,latitud,longitud,tipologia,direccion,zona,parroquia_urbana,causas,gravedad,nro_heridos,nro_fallecidos,vehiculos_retenidos,senalizacion_existente,condicion_calzada,condicion_atmosferica
06-18,15:42,-3.992649,-79.2054949,choque lateral perpendicular,universitaria y jose felix de valdivieso,urbana,el sagrario,imprudencia del conductor,grave,1.0,0.0,2.0,ninguna,seca,semicubierto
06-18,16:47,-3.9911985,-79.2015038,atropello,orillas del zamora y juan de salinas,urbana,el sagrario,imprudencia del peaton,grave,1.0,0.0,1.0,ninguna,mojada,cubierto
06-18,06:10,-4.0191886,-79.2290339,estrellamiento,22 y d-prima,urbana,sucre,imprudencia del conductor,leve,0.0,0.0,1.0,ninguna,seca,despejado
06-17,23:34,-4.001599,-79.20513,choque por alcance,manuel jose aguirre y mercadillo,urbana,el sagrario,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,mojada,despejado
06-18,18:45,-3.9794886,-79.2193715,perdida de carril,isidro ayora y habana,urbana,sucre,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,mojada,cubierto
06-19,19:09,-3.8322941,-79.2926433,choque frontal excentrico,s/n,rural,n/n,conducir en estado de embriaguez,grave,1.0,0.0,2.0,senalizacion vertical,mojada,cubierto
06-19,19:02,-4.0132305,-79.2058612,choque por alcance,benjamin carrion y argentina,urbana,punzara,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,mojada,cubierto
06-18,21:59,-3.9881031,-79.2030319,perdida de carril,orillas del zamora,urbana,el valle,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,mojada,cubierto
06-19,15:30,-4.0161243,-79.2085314,estrellamiento,manuel benjamin carrion y pedro de mendoza,urbana,punzara,conducir en exceso de velocidad,grave,1.0,0.0,1.0,ninguna,mojada,cubierto
06-13,20:14,-3.9887227,-79.2102335,choque por alcance,s/n,urbana,sucre,conducir en estado de embriaguez,grave,1.0,0.0,2.0,senalizacion vertical,seca,semicubierto
06-21,11:35,-4.003801,-79.2064085,choque lateral perpendicular,jose maria pena y venezuela,urbana,san sebastian,no respetar las senales de transito,leve,0.0,0.0,2.0,senalizacion vertical,seca,cubierto
06-23,13:32,-3.98631,-79.20223,choque lateral angular,sin nombre y bracamoros,urbana,el valle,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,despejado
06-23,17:25,-3.988626,-79.210097,roce positivo,manuel carrion pinzano y pedro falconi,urbana,sucre,conducir en exceso de velocidad,grave,1.0,0.0,2.0,senalizacion horizontal y vertical,seca,semicubierto
06-26,12:30,-3.982448,-79.20774,estrellamiento,manuel carrion pinzano y eduardo unda,urbana,sucre,imprudencia del conductor,leve,0.0,0.0,3.0,ninguna,seca,semicubierto
06-30,07:45,-4.0393507,-79.2070161,atropello,aristoteles y reinaldo espinoza,urbana,punzara,imprudencia del peaton,grave,2.0,0.0,1.0,ninguna,mojada,cubierto
06-28,19:56,-3.9705154,-79.20975,estrellamiento,arturo armijos ayala y monfilio jaramillo,urbana,carigan,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,seca,semicubierto
07-08,18:30,-3.8756495,-79.4233982,caida de pasajero,s/n,rural,n/n,imprudencia del conductor,grave,1.0,0.0,1.0,ninguna,seca,despejado
07-09,23:34,-3.9886945,-79.2054147,choque por alcance,cuxibamba y tena,urbana,sucre,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,mojada,cubierto
07-10,15:50,-3.9878012,-79.2029142,atropello,orillas del zamora y juan de alderete,urbana,sucre,imprudencia del conductor,grave,1.0,0.0,1.0,ninguna,seca,semicubierto
07-10,21:44,-3.999655,-79.212892,estrellamiento,eugenio espejo e ines jimenez,urbana,sucre,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,mojada,cubierto
07-11,00:50,-4.061062,-79.196739,estrellamiento,exodo de yangana,urbana,punzara,conducir en exceso de velocidad,grave,0.0,1.0,1.0,senalizacion vertical,mojada,cubierto
07-11,19:54,-3998410.0,-79.197982,estrellamiento,24 de mayo rocafuerte,urbana,el sagrario,imprudencia del conductor,grave,1.0,0.0,3.0,ninguna,seca,semicubierto
07-12,16:42,-4.0837971,-79.2054617,choque lateral angular,s/n,rural,n/n,conducir en exceso de velocidad,leve,0.0,0.0,2.0,ninguna,mojada,cubierto
07-12,18:10,-3.9825738,-79.199595,atropello,venecia y jose coronel illescas,urbana,el valle,imprudencia del peaton,grave,1.0,0.0,1.0,ninguna,seca,cubierto
07-17,13:00,-4.0439145,-79.196964,choque frontal excentrico,exodo de yangana,urbana,san sebastian,imprudencia del conductor,grave,1.0,0.0,2.0,ninguna,seca,cubierto
07-16,11:00,-4.0219087,-79.2006624,roce negativo,eduardo kingman y ricardo palma,urbana,san sebastian,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,mojada,cubierto
07-16,05:15,-3.9955863,-79.2871223,perdida de carril,s/n,rural,n/n,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,mojada,cubierto
07-12,04:23,-3.9712484,-7.92102523E8,atipico,fausto g. y angel herrera,urbana,carigan,imprudencia del conductor,leve,0.0,0.0,1.0,ninguna,mojada,cubierto
07-13,10:50,-3.9567655,-79.2139419,choque lateral perpendicular,salvador bustamante celi y santa fe,urbana,el valle,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,cubierto
07-13,00:00,-3.761865,-79.261075,choque lateral perpendicular,s/n,rural,n/n,imprudencia del conductor,grave,2.0,1.0,2.0,ninguna,mojada,cubierto
07-13,22:08,-4.002305,-79.2008446,choque lateral perpendicular,bernardo valdivieso y lourdes,urbana,san sebastian,imprudencia del conductor,grave,2.0,0.0,2.0,ninguna,seca,semicubierto
07-15,07:45,-3.9821601,-79.2000027,choque lateral angular,jose coronel illescas y guayaquil,urbana,el valle,conducir en exceso de velocidad,grave,1.0,0.0,3.0,ninguna,mojada,semicubierto
07-23,08:16,-3.989196,-79.203385,atipico,universitaria y orillas del zamora,urbana,sucre,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,despejado
07-23,08:40,-4.0129251,-79.2022554,estrellamiento,gobernacion de mainas y 18 de noviembre,urbana,san sebastian,imprudencia del conductor,grave,1.0,0.0,2.0,ninguna,seca,despejado
07-24,03:55,-4.141615,-79.2038144,estrellamiento,s/n,rural,n/n,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,seca,despejado
07-23,18:15,-3.99929,-79.205856,atropello,lauro guerrero y pasaje la feue,urbana,el sagrario,imprudencia del peaton,grave,1.0,0.0,1.0,ninguna,seca,despejado
07-25,05:55,-4.0205197,-79.2204262,estrellamiento,benjamin carrion y santiago fernandez,urbana,punzara,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,seca,semicubierto
07-25,02:35,-4.0077089,-79.2070049,estrellamiento,brasil y espana,urbana,punzara,conducir en estado de embriaguez,grave,1.0,0.0,1.0,ninguna,seca,despejado
07-25,12:00,-4.0122095,-79.2044479,choque lateral angular,pio jaramillo alvarado y gobernacion de mainas,urbana,punzara,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,seca,despejado
07-21,09:55,-4.003745,-79.203558,choque lateral perpendicular,18 de noviembre y catacocha,urbana,san sebastian,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,despejado
07-21,17:30,-4.002221,-79.197626,choque lateral angular,24 de mayo y lourdes,urbana,el sagrario,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,seca,cubierto
07-20,16:00,-4.02616,-79.206013,choque lateral angular,jose robles carrion y benjamin franklin,urbana,punzara,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,semicubierto
06-24,13:05,-3.989286,-79.203342,roce negativo,orillas del zamora y universitaria,urbana,sucre,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,despejado
06-24,07:00,-3.838987,-79.34124,arrollamiento,s/n,rural,n/n,imprudencia del peaton,grave,0.0,1.0,0.0,ninguna,seca,semicubierto
06-25,10:30,-3.9889243,-79.2083897,choque lateral perpendicular,carlos roman y pedro falconi,urbana,sucre,conducir en estado de embriaguez,leve,0.0,0.0,3.0,ninguna,seca,despejado
06-25,16:00,-4.000086,-79.197843,choque lateral perpendicular,24 de mayo y azuay,urbana,el sagrario,imprudencia del conductor,grave,2.0,0.0,2.0,senalizacion horizontal y vertical,seca,semicubierto
06-26,16:12,-4.00156,-79.20473,atropello,manuel agustin aguirre y mercadillo,urbana,san sebastian,imprudencia del peaton,grave,1.0,0.0,1.0,ninguna,seca,despejado
06-25,21:14,-4.0791139,-79.196459,estrellamiento,via loja malacatos,urbana,punzara,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,seca,despejado
06-27,10:05,-3.958906,-79.253448,estrellamiento,carigan,urbana,carigan,imprudencia del conductor,grave,1.0,0.0,1.0,ninguna,seca,despejado
06-27,18:43,-4.0181984,-79.2108218,choque frontal excentrico,benjamin carrion y francisco narino,urbana,punzara,conducir en estado de embriaguez,grave,1.0,0.0,3.0,ninguna,seca,semicubierto
06-27,22:04,-4.0002209,-79.2018119,choque lateral perpendicular,bolivar y azuay,urbana,san sebastian,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,despejado
06-27,21:59,-3.9761274,-79.2012514,colision,salvador bustamante celi y isidro ayora,urbana,el valle,conducir en estado de embriaguez,leve,2.0,0.0,3.0,ninguna,seca,despejado
06-30,17:20,-4.018556,-79.2284271,atropello,eugenio espejo,urbana,sucre,imprudencia del peaton,grave,1.0,0.0,1.0,ninguna,seca,semicubierto
07-01,18:30,-4.001655,-79.2078231,choque lateral angular,pio jaramillo alvarado y mercadillo,urbana,sucre,imprudencia del conductor,grave,0.0,0.0,2.0,ninguna,seca,cubierto
07-01,21:09,-4.0121162,-79.2311462,atropello,angel felicisimo rojas,urbana,sucre,cruce de animales en la via,leve,1.0,0.0,1.0,ninguna,seca,semicubierto
07-02,13:35,-4.0274763,-79.208179,choque lateral perpendicular,geovanny y galileo galilei,urbana,punzara,imprudencia del conductor,leve,1.0,0.0,2.0,ninguna,seca,despejado
07-02,11:45,-3.9958789,-79.2101216,roce negativo,manuel carrion pinzano y de los paltas,urbana,sucre,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,despejado
07-02,20:44,-4.024736,-79.207156,estrellamiento,heroes del cenepa y cabo gonzalo,urbana,punzara,imprudencia del conductor,leve,1.0,0.0,1.0,ninguna,mojada,cubierto
07-04,03:20,-3.9984088,-79.2079358,estrellamiento,manuel carrion pinzano,urbana,sucre,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,despejado
08-01,13:20,-4.0013633,-79.2061592,choque lateral angular,mercadillo y ramon pinto,urbana,san sebastian,imprudencia del conductor,grave,2.0,0.0,2.0,ninguna,seca,semicubierto
07-30,02:25,-4.248897,-79.224866,estrellamiento,via vilcabamba-loja,rural,n/n,conducir en exceso de velocidad,grave,2.0,0.0,1.0,ninguna,seca,cubierto
07-29,08:45,-4.1324825,-79.2036719,colision,via loja-malacatos,rural,n/n,imprudencia del conductor,leve,0.0,0.0,3.0,ninguna,seca,semicubierto
07-27,16:25,-4.0102139,-79.2108062,choque lateral angular,honduras y guatemala,urbana,sucre,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,semicubierto
07-27,15:00,-3.8032755,-79.2936595,choque lateral angular,via loja-saraguro,rural,n/n,imprudencia del conductor,grave,7.0,0.0,2.0,ninguna,seca,semicubierto
07-27,18:15,-4.0057312,-79.2012326,roce negativo,sozoranga y celica,urbana,san sebastian,imprudencia del conductor,grave,1.0,0.0,2.0,ninguna,seca,cubierto
07-26,12:25,-3.999355,-79.2036323,choque por alcance,miguel riofrio y 18 de noviembre,urbana,el sagrario,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,seca,despejado
07-26,09:35,-3.993759,-79.150817,choque frontal excentrico,via loja-zamora,rural,n/n,fallas mecanicas no previsibles,grave,4.0,0.0,3.0,senalizacion vertical,seca,cubierto
07-26,19:44,-4.235373,-79.227279,volcamiento,via malacatos-vilcabamba,rural,n/n,conducir en estado de embriaguez,grave,1.0,0.0,1.0,ninguna,seca,semicubierto
07-26,22:14,-3.970101,-79.209266,estrellamiento,vicente delgado tapia y pablo palacios,urbana,carigan,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,seca,despejado
07-18,20:19,-4.3183633,-79.2362836,atropello,14 de febrero y palmira,rural,n/n,conducir en exceso de velocidad,grave,1.0,1.0,1.0,ninguna,mojada,cubierto
08-08,19:14,-4.2659702,-79.2130875,estrellamiento,via vilcabamba-yamburara,rural,n/n,conducir en estado de embriaguez,leve,0.0,0.0,1.0,ninguna,seca,despejado
08-08,10:55,-3.9702967,-79.2101891,estrellamiento,pablo palacios y la gaceta,urbana,carigan,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,seca,despejado
08-08,16:00,-4.193483,-79.215114,perdida de carril,via loja-malacatos,rural,n/n,conducir en exceso de velocidad,grave,5.0,0.0,1.0,ninguna,seca,despejado
08-06,21:44,-4.0041499,-79.1957396,perdida de carril,parque galapagos y andres bello,urbana,san sebastian,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,seca,despejado
08-07,21:29,-3.9986897,-79.2030094,estrellamiento,sucre y miguel riofrio,urbana,el sagrario,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,seca,despejado
08-07,00:00,-4.0051953,-79.2123835,estrellamiento,shyris y quitus,urbana,punzara,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,seca,despejado
08-07,14:35,-3.9600806,-79.2162776,colision,8 de diciembre y belisario moreno,urbana,carigan,conducir en estado de embriaguez,leve,0.0,0.0,4.0,senalizacion vertical,seca,despejado
08-05,22:39,-3.9872211,-79.2028915,choque lateral angular,nueva loja y guaranda,urbana,sucre,imprudencia del conductor,grave,1.0,0.0,2.0,senalizacion vertical,seca,despejado
08-06,03:15,-4.0333459,-79.2035247,perdida de carril,reinaldo espinoza y teodoro wolf,urbana,punzara,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,seca,semicubierto
08-04,17:45,-3.9982879,-79.2035393,estrellamiento,rocafuerte y sucre,urbana,el sagrario,imprudencia del conductor,leve,0.0,0.0,1.0,ninguna,seca,despejado
08-14,15:55,-3.997398,-79.205217,choque lateral perpendicular,manuel agustin aguirre y 10 de agosto,urbana,el sagrario,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,semicubierto
08-14,12:15,-4.0026731,-79.2065723,choque lateral perpendicular,jose maria pena y tnte maximiliano rodriguez,urbana,san sebastian,imprudencia del conductor,leve,0.0,0.0,2.0,senalizacion horizontal y vertical,seca,despejado
08-14,13:25,-4.0095198,-79.2037522,choque lateral perpendicular,manuel agustin aguirre y chile,urbana,punzara,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,despejado
08-13,22:59,-4.032296,-79.2025201,perdida de carril,anton philips y pio jaramillo alvarado,urbana,punzara,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,seca,despejado
08-13,02:10,-4.0117373,-79.2308347,estrellamiento,angel felicisimo rojas,urbana,sucre,conducir en exceso de velocidad,grave,1.0,0.0,1.0,ninguna,mojada,cubierto
08-15,05:50,-3.9992242,-79.2240294,estrellamiento,villonaco y daniel alcides carrion,urbana,sucre,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,seca,despejado
08-18,06:10,-3.977106,-79.2056049,choque lateral perpendicular,isidro ayora,urbana,el valle,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,cubierto
08-16,19:31,-4.016426,-79.203794,estrellamiento,pio jaramillo alvarado y manuel agustin aguirre,urbana,punzara,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,seca,cubierto
08-21,14:15,-4.0222194,-79.2032911,estrellamiento,pio jaramillo alvarado y leonardo da vinci,urbana,punzara,conducir en exceso de velocidad,leve,0.0,0.0,3.0,ninguna,seca,despejado
08-22,07:20,-3.9838495,-79.2131933,arrollamiento,bello horizonte y potosi,urbana,sucre,imprudencia del peaton,grave,1.0,0.0,1.0,ninguna,seca,cubierto
08-21,07:45,-3.9872182,-79.2036773,atropello,guaranda y machala,urbana,sucre,imprudencia del conductor,grave,1.0,0.0,1.0,ninguna,seca,despejado
08-20,20:04,-3.9768564,-79.204493,choque lateral angular,isidro ayora y 8 de diciembre,urbana,sucre,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,despejado
08-20,13:15,-4.0215901,-79.218387,choque lateral perpendicular,juan cueva serrano y agustin aguirre r,urbana,punzara,imprudencia del conductor,grave,1.0,0.0,2.0,ninguna,seca,despejado
08-20,15:00,-4.0026652,-79.2073421,roce negativo,tnte maximiliano rodriguez y pio jaramillo alvarado,urbana,el sagrario,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,despejado
08-20,00:20,-4.2328958,-79.2354477,encunetamiento,via vilcabamba-malacatos,rural,n/n,imprudencia del conductor,grave,1.0,0.0,1.0,ninguna,seca,semicubierto
08-20,02:30,-3.9724208,-79.2213606,estrellamiento,pablo palacios y buenaventura,urbana,carigan,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,seca,despejado
08-19,18:35,-3.9815629,-79.2012336,choque por alcance,guayaquil y esmeraldas,urbana,el valle,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,cubierto
08-18,23:24,-3.9980824,-79.2000976,estrellamiento,olmedo y rocafuerte,urbana,el sagrario,imprudencia del conductor,grave,1.0,0.0,2.0,senalizacion vertical,seca,semicubierto
08-26,11:10,-4.0066596,-79.2051343,atropello,brasil y pio jaramillo alvarado,urbana,punzara,imprudencia del peaton,grave,1.0,0.0,1.0,ninguna,seca,semicubierto
08-26,12:15,-3.9883239,-79.2053524,choque lateral angular,cuxibamba y tena,urbana,sucre,conducir en exceso de velocidad,grave,1.0,0.0,2.0,ninguna,seca,semicubierto
08-28,21:24,-3.964629,-79.213205,perdida de carril,8 de diciembre y c06-31,urbana,carigan,conducir en estado de embriaguez,leve,0.0,0.0,3.0,ninguna,seca,semicubierto
08-28,23:07,-3.993197,-79.1994528,choque por alcance,segundo cueva celi y segundo puertas,urbana,el sagrario,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,seca,cubierto
08-29,00:15,-3.9922879,-79.2010675,choque lateral perpendicular,orillas del zamora y clodoveo carrion,urbana,el sagrario,conducir en estado de embriaguez,grave,1.0,0.0,2.0,ninguna,seca,semicubierto
08-27,23:14,-4.002289,-79.198713,choque lateral perpendicular,lourdes y juan jose pena,urbana,el sagrario,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,seca,despejado
08-27,19:34,-4.0029528,-79.1975502,choque lateral perpendicular,24 de mayo y leopoldo palacios,urbana,el sagrario,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,seca,despejado
08-29,00:10,-3.9705017,-79.202929,estrellamiento,salvador bustamante celi y francisco lecaro,urbana,el valle,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,seca,semicubierto
08-30,16:15,-4.010255,-79.200716,arrollamiento,maximo agustin aguirre y eduardo kingman,urbana,san sebastian,imprudencia del peaton,grave,1.0,0.0,1.0,ninguna,mojada,semicubierto
08-30,21:59,-3.9989251,-79.1973866,choque lateral perpendicular,macara y miguel riofrio,urbana,el sagrario,imprudencia del conductor,grave,2.0,0.0,2.0,ninguna,mojada,cubierto
08-30,21:39,-3.9630713,-79.21473,choque lateral perpendicular,la jimbilla y santiago,urbana,carigan,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,mojada,cubierto
08-31,06:05,-3.9780637,-79.2225817,perdida de carril,isidro ayora y habana,urbana,sucre,conducir en estado de embriaguez,grave,1.0,0.0,1.0,ninguna,seca,cubierto
09-01,22:34,-3.9780824,-79.2026206,estrellamiento,orillas del zamora y santa rosa,urbana,el valle,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,despejado
09-02,05:39,-3.9788316,-79.2206485,choque lateral perpendicular,via loja-catamayo,urbana,sucre,imprudencia del conductor,grave,1.0,0.0,2.0,ninguna,seca,cubierto
09-02,09:39,-3.9941334,-79.2014414,choque lateral perpendicular,bernardo valdivieso y imbabura,urbana,el sagrario,no respetar las senales de transito,grave,2.0,0.0,2.0,ninguna,seca,semicubierto
09-04,22:07,-3.9864777,-79.210104,estrellamiento,manuel carrion pinzano y bolivar bailon,urbana,sucre,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,seca,despejado
09-05,20:29,-3.7432257,-79.2669762,choque frontal excentrico,via loja-cuenca,rural,n/n,imprudencia del conductor,grave,2.0,0.0,2.0,ninguna,seca,despejado
09-04,08:10,-3.979365,-79.212767,choque lateral perpendicular,isidro ayora y montevideo,urbana,sucre,imprudencia del conductor,grave,1.0,0.0,2.0,ninguna,seca,despejado
09-04,06:50,-4.0870055,-79.2091333,encunetamiento,via malacatos-loja,rural,n/n,conducir en estado de embriaguez,leve,0.0,0.0,1.0,ninguna,seca,semicubierto
09-03,12:05,-3.9780824,-79.2026206,estrellamiento,pio jaramillo alvarado,urbana,punzara,conducir en exceso de velocidad,leve,0.0,0.0,2.0,ninguna,seca,despejado
09-05,18:11,-3.9776394,-79.2077031,choque por alcance,barcelona y isidro ayora,urbana,sucre,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,semicubierto
09-08,13:30,-3.9946599,-79.1993153,choque lateral perpendicular,juan jose pena y emiliano ortega,urbana,el sagrario,imprudencia del conductor,grave,1.0,0.0,2.0,ninguna,seca,despejado
09-09,01:40,-4.0149525,-79.2003663,estrellamiento,gobernacion de mainas y jorupes,urbana,san sebastian,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,seca,cubierto
09-08,22:58,-3.9954702,-79.2830485,choque lateral angular,via loja-catamayo,rural,n/n,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,seca,cubierto
09-11,06:00,-4.0063967,-79.204126,perdida de carril,manuel agustin aguirre y cuba,urbana,punzara,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,seca,cubierto
09-10,02:45,-4.002713,-79.21893,estrellamiento,antofagasta y macapa,urbana,sucre,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,seca,semicubierto
09-11,12:05,-4.0213536,-79.2250163,estrellamiento,benjamin carrion y huayrapungo,urbana,punzara,conducir en estado de embriaguez,grave,1.0,0.0,1.0,ninguna,seca,semicubierto
09-11,11:45,-3.9904009,-79.2051158,choque lateral angular,cuxibamba y gran colombia,urbana,sucre,no respetar las senales de transito,grave,1.0,0.0,2.0,ninguna,seca,despejado
09-11,22:24,-3.9820029,-79.2837794,perdida de carril,via catamayo-loja,rural,n/n,conducir en estado de embriaguez,grave,1.0,0.0,1.0,ninguna,mojada,semicubierto
09-11,14:40,-3.7997337,-79.2906339,perdida de carril,via loja-santiago,rural,n/n,imprudencia del conductor,grave,8.0,0.0,2.0,ninguna,seca,despejado
09-12,13:25,-4.3083263,-79.2109,choque lateral angular,via vilcabamba-yangana,rural,n/n,conducir en estado de embriaguez,leve,0.0,0.0,2.0,senalizacion vertical,seca,despejado
09-10,02:10,-3.996067,-79.2082988,estrellamiento,manuel carrion pinzano y maria de leiva,urbana,sucre,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,seca,cubierto
09-06,13:50,-3.43271,-79.16025,choque lateral angular,via loja-saraguro,rural,n/n,imprudencia del conductor,grave,4.0,1.0,2.0,ninguna,mojada,cubierto
09-08,08:45,-4.0166134,-79.2090417,roce negativo,benjamin carrion y gaitan,urbana,punzara,imprudencia del conductor,grave,1.0,0.0,2.0,ninguna,seca,cubierto
09-13,13:05,-3.9945539,-79.205602,rozamiento,san juan de dios y juan jose samaniego,urbana,sucre,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,seca,despejado
09-13,15:00,-3.9815712,-79.2029483,atropello,nueva loja y guayaquil,urbana,sucre,conducir en exceso de velocidad,grave,1.0,0.0,1.0,ninguna,seca,cubierto
09-14,07:15,-3.9726024,-79.2212683,estrellamiento,pablo palacios y buenaventura,urbana,sucre,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,seca,despejado
09-14,11:15,-3.9925553,-79.2035183,choque lateral perpendicular,sucre y jose felix de valdivieso,urbana,el sagrario,no respetar las senales de transito,grave,1.0,0.0,2.0,ninguna,seca,despejado
09-16,07:00,-3.9953597,-79.202185,choque lateral perpendicular,bolivar y colon,urbana,el sagrario,no respetar las senales de transito,leve,0.0,0.0,2.0,ninguna,mojada,cubierto
09-19,14:10,-4.0467472,-79.1969448,choque lateral angular,exodo de yangana,urbana,san sebastian,imprudencia del conductor,grave,2.0,0.0,2.0,ninguna,seca,semicubierto
09-17,19:49,-3.9792735,-79.2097413,estrellamiento,isidro ayora,urbana,sucre,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,seca,cubierto
09-16,13:00,-3.9995585,-79.2058239,choque lateral perpendicular,lauro guerrero y miguel riofrio,urbana,sucre,imprudencia del conductor,leve,0.0,0.0,3.0,ninguna,seca,cubierto
09-20,21:44,-3.8521344,-79.4256276,roce positivo,harris morales y r. fernandez,rural,n/n,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,seca,semicubierto
09-22,16:27,-3.9994326,-79.204524,choque por alcance,universitaria y miguel riofrio,urbana,el sagrario,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,cubierto
09-21,15:00,-3.999363,-79.2037348,atropello,miguel riofrio y 18 de noviembre,urbana,el sagrario,imprudencia del peaton,grave,1.0,0.0,1.0,ninguna,seca,semicubierto
09-22,09:50,-3.9991842,-79.2117189,choque lateral angular,de los paltas y ines jimenez,urbana,sucre,imprudencia del conductor,grave,1.0,0.0,2.0,ninguna,mojada,semicubierto
09-22,21:34,-3.9881708,-79.2101006,roce negativo,manuel carrion pinzano y pedro falconi,urbana,sucre,imprudencia del conductor,grave,1.0,0.0,3.0,ninguna,seca,despejado
09-22,22:14,-4.0072962,-79.2061245,choque lateral perpendicular,mexico y brasil,urbana,punzara,no respetar las senales de transito,grave,1.0,0.0,2.0,ninguna,seca,despejado
09-23,02:13,-4.0020995,-79.207496,estrellamiento,pio jaramillo alvarado y mercadillo,urbana,sucre,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,seca,semicubierto
09-24,06:10,-3.954152,-79.241121,atipico,s/n,urbana,carigan,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,semicubierto
09-24,13:25,-3.9879653,-79.2130931,atipico,adolfo valarezo y segundo amador maza,urbana,sucre,fallas mecanicas no previsibles,leve,0.0,0.0,1.0,ninguna,seca,despejado
09-24,20:49,-3.970442,-79.2270212,choque lateral angular,pablo palacios,urbana,sucre,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,cubierto
09-25,13:55,-3.9904294,-79.1855464,estrellamiento,via zamora-loja,urbana,el sagrario,imprudencia del conductor,grave,1.0,0.0,2.0,ninguna,seca,despejado
09-26,03:15,-4.0368819,-79.1982945,perdida de carril,exodo de yangana,urbana,punzara,conducir en estado de embriaguez,leve,0.0,0.0,1.0,ninguna,seca,cubierto
09-25,01:45,-4.0114346,-79.2012192,choque lateral perpendicular,eduardo kingman y catamayo,urbana,san sebastian,imprudencia del conductor,grave,4.0,0.0,2.0,ninguna,seca,despejado
09-27,17:50,-3.789272,-79.258342,choque lateral angular,via loja-cuenca,rural,n/n,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,seca,despejado
