@relation MarginCurve

@attribute Instance_number numeric
@attribute Margin numeric
@attribute Current numeric
@attribute Cumulative numeric

@data
278,0.1875,1,278
279,0.1875,1,279
280,0.19403,1,280
281,0.19403,1,281
282,0.19403,1,282
283,0.19403,1,283
284,0.19403,1,284
285,0.19403,1,285
286,0.2,1,286
287,0.205128,1,287
288,0.205128,1,288
289,0.205128,1,289
290,0.205128,1,290
291,0.205128,1,291
292,0.21875,1,292
293,0.222222,1,293
294,0.230769,1,294
295,0.230769,1,295
296,0.26383,1,296
297,0.26383,1,297
298,0.26383,1,298
299,0.26383,1,299
300,0.26383,1,300
301,0.26383,1,301
302,0.26383,1,302
303,0.26383,1,303
304,0.26383,1,304
305,0.26383,1,305
306,0.26383,1,306
307,0.26383,1,307
308,0.26383,1,308
309,0.26383,1,309
310,0.26383,1,310
311,0.26383,1,311
312,0.26383,1,312
313,0.26383,1,313
314,0.26383,1,314
315,0.26383,1,315
316,0.26383,1,316
317,0.26383,1,317
318,0.26383,1,318
319,0.26383,1,319
320,0.26383,1,320
321,0.26383,1,321
322,0.26383,1,322
323,0.26383,1,323
324,0.26383,1,324
325,0.26383,1,325
326,0.26383,1,326
327,0.26383,1,327
328,0.26383,1,328
329,0.26383,1,329
330,0.26383,1,330
331,0.26383,1,331
332,0.26383,1,332
333,0.26383,1,333
334,0.26383,1,334
335,0.26383,1,335
336,0.26383,1,336
337,0.26383,1,337
338,0.272727,1,338
339,0.272727,1,339
340,0.277778,1,340
341,0.277778,1,341
342,0.277778,1,342
343,0.277778,1,343
344,0.288889,1,344
345,0.288889,1,345
346,0.288889,1,346
347,0.288889,1,347
348,0.288889,1,348
349,0.288889,1,349
350,0.288889,1,350
351,0.288889,1,351
352,0.288889,1,352
353,0.288889,1,353
354,0.288889,1,354
355,0.4,1,355
356,0.4,1,356
357,0.428571,1,357
358,0.428571,1,358
359,0.444444,1,359
360,0.454545,1,360
361,0.5,1,361
362,0.5,1,362
363,0.5,1,363
364,0.5,1,364
365,0.5,1,365
366,0.5,1,366
367,0.5,1,367
368,1,1,368
369,1,1,369
370,1,1,370
